url,category_code,category_description,date_added,source,notes
http://against-al-t6bee3.maktoobblog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alaintaxi.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alemarat.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alkhaber.maktoobblog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://angryarab.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ar.wikipedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA_-_%D8%A3%D8%AD%D8%AF%D8%A7%D8%AB_%D9%88%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D8%AE%D9%84%D9%8A%D9%81%D8%A9_%D8%A8%D9%86_%D8%B2%D8%A7%D9%8A%D8%AF_%D8%A2%D9%84_%D9%86%D9%87%D9%8A%D8%A7%D9%86,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://benkerishan.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://britishexpats.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bssandbrninalain.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://canbitxitos.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://coppernose.pw,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/10,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/12,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/14,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/16,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/166,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/170,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/19,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/20,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/22,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/230,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/243,COMM,E-commerce,2014-04-15,citizenlab,
