url,category_code,category_description,date_added,source,notes
http://adl.hayway.org,POLR,Political reform,2014-04-15,citizenlab,
http://ara-ashjian.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://azad-hye.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://civilnet.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://epress.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://gayarmenia.aglany.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://genats-lehayim.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://iararat.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://lragir.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://panarmenian.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://pinkarmenia.blogspot.com,HUMR,Human rights,2014-04-15,citizenlab,
http://queeringyerevan.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://stopxenophobia.org,HUMR,Human rights,2014-04-15,citizenlab,
http://torrents.gisher.ru,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://unzipped.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.1in.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.a1plus.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.adc.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.amiab.am,POLT,Political transformation,2014-04-15,citizenlab,
http://www.anca.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.arf.am,POLR,Political reform,2014-04-15,citizenlab,
http://www.arfd.info,POLR,Political reform,2014-04-15,citizenlab,
http://www.armenialiberty.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.armeniansingles.com,DATE,Dating,2014-04-15,citizenlab,
http://www.arminco.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.armtimes.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.azatutyun.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.azg.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bionet.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.cilicia.com/armo_life-log.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.day.az,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.freenet.am,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.givemeinfo.am/en/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.hayary.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.health.am,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.hetq.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.hunchak.org.au,POLR,Political reform,2014-04-15,citizenlab,
http://www.jewish.am,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.lragir.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.miacum.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.newsazerbaijan.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.nt.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.oneworld.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.payqar.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.religions.am/eng/,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.tert.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ulp.am,POLR,Political reform,2014-04-15,citizenlab,
http://www.vost.net,SRCH,Search engines,2014-04-15,citizenlab,
http://www.womenofarmenia.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.yerkirmedia.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.zlm.am,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://youtube.com/a1plusnews,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
