url,category_code,category_description,date_added,source,notes
http://bangladeshwatchdog.blogspot.com/2007_04_01_archive.html,POLR,Political reform,2014-04-15,citizenlab,
http://bangladoot.org/Foreign%20Relations-Bangladesh%20and%20Outside%20world11oct02.doc,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://bd.singlescrowd.com,DATE,Dating,2014-04-15,citizenlab,
http://bdpod.com,SRCH,Search engines,2014-04-15,citizenlab,
http://bhorerkagoj.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://counterterrorismblog.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://counterterrorismblog.org/2007/03/bangladesh_thousands_militants.php,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://counterterrorismblog.org/2007/04/islamic_militant_kicks_off_rev.php,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://cpj.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://dakbangla.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://deshivoice.blogspot.com/2007/07/bangladeshs-political-reform.html,POLR,Political reform,2014-04-15,citizenlab,
http://hrcbmdfw.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://hrtribune.com,MINF,Minority faiths,2014-04-15,citizenlab,
http://hrw.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://hrw.org/english/docs/2006/06/07/bangla13518.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://in.rediff.com/news/2005/dec/21bspec.htm,HATE,Hate speech,2014-04-15,citizenlab,
http://jamestown.org/terrorism/news/article.php?articleid=2369724&printthis=1,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://kothachat.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://material.ahrchk.net/hrreport/2006/Bangladesh2006.pdf,HUMR,Human rights,2014-04-15,citizenlab,
http://news.bbc.co.uk/2/hi/south_asia/6596775.stm,POLT,Political transformation,2014-04-15,citizenlab,
http://ourbangla.com/efriends/,GRP,Groups and social networking,2014-04-15,citizenlab,
http://salamdhaka.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://seclists.org/isn/2006/Sep/0059.html,HACK,Hacking,2014-04-15,citizenlab,
http://tpoi.blogspot.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://web.amnesty.org/library/Index/ENGASA130042005,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ahsaniamission.org,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.albd.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.amardeshbd.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.asiamedia.ucla.edu/article-southasia.asp?parentid=8262,VOIP,VOIP,2014-04-15,citizenlab,
http://www.asiantribune.com/index.php?q=node/3748,POLR,Political reform,2014-04-15,citizenlab,
http://www.bangla2000.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.bangladesh-web.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bangladeshdir.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.bangladeshjournal.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.bangladeshobserveronline.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.banglamusic.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.banglarights.net/news_and_issues.php?story_id=221&offset=0,HUMR,Human rights,2014-04-15,citizenlab,
http://www.bdbangla.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.bddiscussion.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.bdnews24.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bengaliguru.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.blogcharm.com/blogbangla/725/Shaikh+Abdur+Rahman&%2339%3Bs+arrest+in+West+Bengal+shrouded+in+mystery.html,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.bostonmasala.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.comminit.com,PUBH,Public health,2014-04-15,citizenlab,
http://www.daily-dinkal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.dailyjanakantha.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.dailysangram.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.demcoalition.org/pdf/A_Bangladesh.pdf,POLT,Political transformation,2014-04-15,citizenlab,
http://www.deshilove.com,DATE,Dating,2014-04-15,citizenlab,
http://www.drishtipat.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.economist.com/countries/Bangladesh/profile.cfm?folder=Profile%2DPolitical%20Forces,POLT,Political transformation,2014-04-15,citizenlab,
http://www.faithfreedom.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.fhi.org/en/RH/Pubs/wsp/fctshts/Bangladesh1.htm,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.fiercevoip.com/story/bangladesh-isps-ask-for-voip-licenses/2007-02-27,VOIP,VOIP,2014-04-15,citizenlab,
http://www.himalmag.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.host4bd.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.hrcbm.org/images/manik_murder.html,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.hrcbm.org/news/extremism.html,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.ifex.org/en/content/view/full/85787,HUMR,Human rights,2014-04-15,citizenlab,
http://www.iht.com/articles/2007/03/30/news/bangla.php,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.ipetitions.com/petition/bangladeshjustice/,POLT,Political transformation,2014-04-15,citizenlab,
http://www.ittefaq.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.khabarpatra.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.love4bd.com,DATE,Dating,2014-04-15,citizenlab,
http://www.minesandcommunities.org,DEV,Development,2014-04-15,citizenlab,
http://www.mukto-mona.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.mybanglaspace.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.newagebd.com/2005/dec/19/fb.html,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.odhikar.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ombudsnet.org/organisations/viewOrg.asp?ID=521,DEV,Development,2014-04-15,citizenlab,
http://www.popcouncil.org,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.prothom-alo.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.rhiya.org/bangladesh_LL04.html,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.saag.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.sajeeb.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.satp.org/satporgtp/countries/bangladesh/terroristoutfits/Huj.htm,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.satrang.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.sdc-health.ch/priority_countries/south_asia/bangladesh,PUBH,Public health,2014-04-15,citizenlab,
http://www.shamokal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.southasianmedia.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.state.gov/g/drl/rls/hrrpt/2002/18309.htm,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.thedailystar.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.thepersecution.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.ti-bangladesh.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.unescobkk.org,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.virtualbangladesh.com,COMM,E-commerce,2014-04-15,citizenlab,
http://www.voip-list.com/voip_billing_software/voip_billing_software_289.html,VOIP,VOIP,2014-04-15,citizenlab,
http://www.voipproviderslist.com/voip-provider/1linkbd/,VOIP,VOIP,2014-04-15,citizenlab,
http://www.voipproviderslist.com/voip-provider/pacific%20communications/,VOIP,VOIP,2014-04-15,citizenlab,
http://www.webbangladesh.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.webbangladesh.com/health/your_health.htm,PUBH,Public health,2014-04-15,citizenlab,
http://www.webhosting.info/webhosts/tophosts/Country/BD,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.who.int/reproductive-health/publications/towards_adulthood/30.pdf,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.wluml.org/english/pubs/pdf/wsf/11.pdf,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
