url,category_code,category_description,date_added,source,notes
http://4moslem.mail.everyone.net,EMAIL,Free email,2014-04-15,citizenlab,
http://ahlulbait12.jeeran.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://alduraz.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alsaha.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ammar456.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://angryarab.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://arabdl.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://arabsex2.com,PORN,Pornography,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl/ayaanhirsiali/english/index.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bahrainonline.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blogs.albawaba.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://en.wikipedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Bahrain_Human_Rights_Watch_Society,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Military_of_Bahrain,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://forum.babalbahrain.net,HUMR,Human rights,2014-04-15,citizenlab,
http://gayguide.net,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gayswithoutborders.wordpress.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/al7aaalm/,PORN,Pornography,2014-04-15,citizenlab,
http://groups.yahoo.com/group/BNAT_MASR/,PORN,Pornography,2014-04-15,citizenlab,
http://groups.yahoo.com/group/fahdalkldi/?yguid=101737945,PORN,Pornography,2014-04-15,citizenlab,
http://groups.yahoo.com/group/games_programs_4arab/,GAME,Gaming,2014-04-15,citizenlab,
http://groups.yahoo.com/group/glaslebanon/,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/lesbianmuslims,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/muslimgaymen,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/transmuslims,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://hrw.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://hrw.org/doc?t=mideast&c=bahrai,HUMR,Human rights,2014-04-15,citizenlab,
http://jaddwilliam2.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://jeeran.com/blogs/,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://kenlydell.typepad.com/islamic_evil/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mahmood.tv,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mail.naseej.com,EMAIL,Free email,2014-04-15,citizenlab,
http://mail.wearab.net/arabic/,EMAIL,Free email,2014-04-15,citizenlab,
http://members.aol.com,POLT,Political transformation,2014-04-15,citizenlab,
http://metransparent.net,POLR,Political reform,2014-04-15,citizenlab,
http://minus.human.bahblog.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://omranx.bahblog.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://shuhood.org/news/121/,HUMR,Human rights,2014-04-15,citizenlab,
http://soft.arabdl.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://tito84.bahblog.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://video.google.com/videoplay?docid=-2582703387533530026&q=bahrain+human+right,HUMR,Human rights,2014-04-15,citizenlab,
http://www.3rbe.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://www.5tt5.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://www.abudhabiescort.com,DATE,Dating,2014-04-15,citizenlab,
http://www.afp.com/arabic/home/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ahraralbahrain.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alahssa-alkateef.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.alalam.ir,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.albawaba.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alfarhan.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.alialasghar.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.allahsassurance.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.almisbar.com,TRNS,Translation,2014-04-15,citizenlab,
http://www.almktaba.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.alquds.co.uk,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alqwmi.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.althaqlain.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alyousif.tv,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.amin.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.amnestyusa.org/By_Country/Bahrain/page.do?id=1011111&n1=3&n2=30&n3=861,HUMR,Human rights,2014-04-15,citizenlab,
http://www.amplusnet.com/products/invisiblebrowsing/overview.htm,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.ansarweb.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.aohr.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.arabchat.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.arabfaces.com,DATE,Dating,2014-04-15,citizenlab,
http://www.arabgirls.us/arabic_stories.htm,PORN,Pornography,2014-04-15,citizenlab,
http://www.arabiadate.com,DATE,Dating,2014-04-15,citizenlab,
http://www.arabianfest.com/food_area.htm,DATE,Dating,2014-04-15,citizenlab,
http://www.arabji.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.arabo.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.arabs2day.ws,SFTWR,Software downloads,2014-04-15,citizenlab,
http://www.arabsgate.com,TRNS,Translation,2014-04-15,citizenlab,
http://www.arabxoops.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://www.asseer.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.ayna.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.baath-party.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.baath-party.org/index.htm,POLR,Political reform,2014-04-15,citizenlab,
http://www.bahai.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.bahrainchild.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.bahraintimes.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.banatal3arab.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.bh4all.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bhrs.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.bintjbeil.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.business-humanrights.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.businessbahrain.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.cdl.com.lb,GMB,Gambling,2014-04-15,citizenlab,
http://www.cnnarabic.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.coptic.net/EncyclopediaCoptica/,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.crin.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.defendingwomen-defendingrights.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.ehcconline.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.elaph.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.equalitynow.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.euromedrights.net,HUMR,Human rights,2014-04-15,citizenlab,
http://www.eyoon.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.fadel9.jeeran.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.fonooons.jeeran.com,HACK,Hacking,2014-04-15,citizenlab,
http://www.freearabvoice.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.freemuslim.org/ahluo%20al-baite/main.htm,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.frontlinedefenders.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.games4arabs.com,GAME,Gaming,2014-04-15,citizenlab,
http://www.gaymiddleeast.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.gaytravelnet.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.girls323.tk,GAME,Gaming,2014-04-15,citizenlab,
http://www.glas.org/ahbab/,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.globalgayz.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.google.ae,SRCH,Search engines,2014-04-15,citizenlab,
http://www.gvnet.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.haaq.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.hack2you.tk,HACK,Hacking,2014-04-15,citizenlab,
http://www.haifawehbe.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.hajr.org/forum/index.php,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.heart2heart.com,DATE,Dating,2014-04-15,citizenlab,
http://www.hri.ca,HUMR,Human rights,2014-04-15,citizenlab,
http://www.hrinfo.net/bahrain/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.humum.net,HUMR,Human rights,2014-04-15,citizenlab,
http://www.idf.il,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.ikhwan.net/vb/,POLT,Political transformation,2014-04-15,citizenlab,
http://www.internewsmena.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.irshadmanji.com/arabic-edition,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
