url,category_code,category_description,date_added,source,notes
http://big5.falundafa.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://bigthink.com/blogs/the-way-of-ai-weiwei,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blog.sina.com.cn/twocold,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bosco.foreignpolicy.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://chinadigitaltimes.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://chinalawandpolicy.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://cmp.hku.hk,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://cnpolitics.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://cpj.org/asia/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://csis.org/region/china,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://duihua.org/wp/,HUMR,Human rights,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Main_Page,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://gb.falundafa.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://globalvoicesonline.org/-/world/east-asia/china/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ntdtv.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://personaldemocracy.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://renren.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://savetibet.us,HUMR,Human rights,2014-04-15,citizenlab,
http://shanghaiist.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://tibet.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://ultrasurf.us,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://uyghuramerican.org,HUMR,Human rights,2014-04-15,citizenlab,
http://wqw2010.blogspot.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ajc.org/site/c.ijiti2phkog/b.685761/k.cb97/home.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://www.americanprogress.org,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.americanprogress.org/tag/china-leadership-transition/view/,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.appledaily.com.tw,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
