url,category_code,category_description,date_added,source,notes
http://blogcindario.miarroba.es,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://congresovisible.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ddhhenlasnoticias.blogspot.com,HUMR,Human rights,2014-04-15,citizenlab,
http://delicious.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://elblogdenesi.blogspot.com/2010/06/pruebas-del-fraude-electoral-en.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://giss.tv:8000/mmedia-p.mp3.m3u,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://identi.ca,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://lacocalocacompany.blogcindario.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://legislaciones.item.org.uy/index?q=paises/25,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://partidoalas.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://picasaweb.google.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://psiphon.ca,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sites.google.com/site/cteachc/los-falsos-positivos,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://uribestiario.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.abpnoticias.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ajpl.nu/radio/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.antenamutante.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.aporrea.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cambio.com.co,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.censat.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.clickafectatumundo.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.colectivomaloka.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.colombiadecide.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.colombiareports.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cypherpunks.ca/otr/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.ecuavisa.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.elecciones.com.co,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.farcejercitodelpueblo.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.flickr.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.gwu.edu/~nsarchiv/colombia/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.herdict.org/web/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.lasillavacia.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mmedia-p.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.morrisproducciones.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.myspace.com/radiodespertarlibertario,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ndi.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.nocheyniebla.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.onic.org.co,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.partidoliberalcolombiano.info/inicio/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.pecx.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.radio.ajpl.nu/htdocs/radio/ponzona.mp3,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.rnv.gov.ve,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.silfredomoralesfisa.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.torproject.org/index.html.es,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.twitter.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.verdadabierta.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.youtube.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
https://www.sesawe.net,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
