url,category_code,category_description,date_added,source,notes
http://aljazeera.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://am.wikipedia.org/wiki/%E1%8B%8B%E1%8A%93%E1%8B%8D_%E1%8C%88%E1%8C%BD,MISC,Miscellaneous,2014-04-15,citizenlab,
http://ancientgebts.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://citizenlab.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://egoportal.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://ethiomedia.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ethiopiaonmymind.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://ethsat.com,POLT,Political transformation,2014-04-15,citizenlab,
http://friendsofethiopia.blogspot.com,ENV,Environment,2014-04-15,citizenlab,
http://hrw.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://nazret.com/blog/index.php?blog=12,POLT,Political transformation,2014-04-15,citizenlab,
http://nazret.com/blog/index.php?blog=14,MISC,Miscellaneous,2014-04-15,citizenlab,
http://nazret.com/blog/index.php?blog=16,POLT,Political transformation,2014-04-15,citizenlab,
http://nazret.com/blog/index.php?blog=9,POLT,Political transformation,2014-04-15,citizenlab,
http://oneitiopia.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://portal.unesco.org/geography/en/ev.php-URL_ID=3559&URL_DO=DO_TOPIC&URL_SECTION=201.html,XED,Sex education and family planning,2014-04-15,citizenlab,
http://securebar.secure-tunnel.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://solidaritymovement.org,POLT,Political transformation,2014-04-15,citizenlab,
http://stream.aljazeera.com/story/201306250132-0022854,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://web.amnesty.org/library/eng-eth/index,HUMR,Human rights,2014-04-15,citizenlab,
http://www.addisnegeronline.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.addisvoice.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.aeup.org/new/index.asp,POLT,Political transformation,2014-04-15,citizenlab,
http://www.aigaforum.com/index.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.amnestyusa.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.andenet.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.anuakjustice.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.awate.com/artman/publish/index.shtml,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bds-ethiopia.net/progynist.html,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.cafpde.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.cafpde.org/index.htm,POLT,Political transformation,2014-04-15,citizenlab,
http://www.coffeechillisun.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.cyberethiopia.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.debteraw.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.delicrafts.com/wordpress/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.dw.de/%e1%8b%ad%e1%8b%98%e1%89%b5/s-11646,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.enset.blogspot.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.eprp.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.ethioamericans.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ethioindex.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.ethiopiafirst.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ethiopiancrown.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ethiopianreporter.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ethiopians.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ethioppia.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.fao.org,DEV,Development,2014-04-15,citizenlab,
http://www.freekifle.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.freeyacob.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.geocities.com/~dagmawi/Zebenya/Zebenya.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.google.com/xhtml,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.gopetition.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.gumii.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.hrw.org/doc?t=africa&c=ethiop,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ilo.org/public/english/region/afpro/addisababa/ethiopia.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://www.inclusivedevelopment.net,HUMR,Human rights,2014-04-15,citizenlab,
http://www.internews.org/research-publications/speaksafe-media-workers-toolkit-safer-online-and-mobile-practices,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.kinijit.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.mediaethiopia.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.mesfinwoldemariam.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.nazret.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.oaklandinstitute.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ogaden.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.orombiyya.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.oromoliberationfront.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.populationmedia.org/programs/ethiopia.html,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.psiphon.ca,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.savenega.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.seminawork.blogspot.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.socepp.de,HUMR,Human rights,2014-04-15,citizenlab,
http://www.tegbar.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.telecom.net.et/~ena/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.tigrai.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.twitter.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.tzta.ca/tzta/english.htm,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ultrasurf.us,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.uneca.org,DEV,Development,2014-04-15,citizenlab,
http://www.unesco-iicba.org,DEV,Development,2014-04-15,citizenlab,
http://www.unfpa.org/profile/ethiopia.cfm,DEV,Development,2014-04-15,citizenlab,
http://www.unicef.org/ethiopia/index.html,HUMR,Human rights,2014-04-15,citizenlab,
http://www.unido.org/data/geodoc.cfm?cc=ETH,DEV,Development,2014-04-15,citizenlab,
http://www.voanews.com/horn/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.weichegud.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.wfp.org/country_brief/indexcountry.asp?region=2&section=9&sub_section=2&country=231,PUBH,Public health,2014-04-15,citizenlab,
http://yekolotemari.blog.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
https://endalk.wordpress.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
https://proxify.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
https://www.citizenlab.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
https://www.hrw.org,HUMR,Human rights,2014-04-15,citizenlab,
https://www.torproject.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
