url,category_code,category_description,date_added,source,notes
http://cluborlov.com/apsny/,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://community-dpr.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://data.electionportal.ge,POLT,Political transformation,2014-04-15,citizenlab,
http://forum.ge,POLR,Political reform,2014-04-15,citizenlab,
http://gaytbilisi.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://ick.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://info9.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://lgbt.ge,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://maestro.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://netgazeti.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://osgenocide.ru,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://palitratv.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://presa.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://saakant-bichi.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://southosetia.euro.ru,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://tribuna.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://twitter.com/b_ivanishvili,POLT,Political transformation,2014-04-15,citizenlab,
http://www.abkhazia.dot.ge,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.abkhaziya.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.apsnypress.info,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.azrebi.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.civil.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.crack.ms,HACK,Hacking,2014-04-15,citizenlab,
http://www.dailymotion.com/tag/jihad,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.ertoba.net/echo1/sppro/bpg/default.asp,POLR,Political reform,2014-04-15,citizenlab,
http://www.expert.ru/tags/countries/georgia/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.facebook.com/officialbidzinaivanishvili,POLT,Political transformation,2014-04-15,citizenlab,
http://www.facebook.com/saakashvilimikheil,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.for.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.georgiandream.ge,POLR,Political reform,2014-04-15,citizenlab,
http://www.gyla.ge,POLR,Political reform,2014-04-15,citizenlab,
http://www.intercasino.com,GMB,Gambling,2014-04-15,citizenlab,
http://www.kafkas.org.tr,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.liberali.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.livestream.com/tv9ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.myphone.ge,VOIP,VOIP,2014-04-15,citizenlab,
http://www.newsgeorgia.ge,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.osradio.ru,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.republicans.ge,POLR,Political reform,2014-04-15,citizenlab,
http://www.s0ftpj.org,HACK,Hacking,2014-04-15,citizenlab,
http://www.svobodnaya-gruzia.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.torrents.ge,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.willhill.com,GMB,Gambling,2014-04-15,citizenlab,
http://www.youtube.com/user/ivanishviliofficial,POLR,Political reform,2014-04-15,citizenlab,
