url,category_code,category_description,date_added,source,notes
http://angel-ateo.com,MINF,Minority faiths,2014-04-15,citizenlab,
http://asometgua.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://blog.descargasgay.com,PORN,Pornography,2014-04-15,citizenlab,
http://cabalasisoy.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://chiapas.indymedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://collectif-guatemala.chez-alice.fr,HUMR,Human rights,2014-04-15,citizenlab,
http://creo.org.gt,POLR,Political reform,2014-04-15,citizenlab,
http://democraciamulticultural.blogspot.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://fundacionsolar.org.gt,HUMR,Human rights,2014-04-15,citizenlab,
http://guatemala.acambiode.com,DEV,Development,2014-04-15,citizenlab,
http://guatemalaisrael.com,MINF,Minority faiths,2014-04-15,citizenlab,
http://hunapu-e-ixbalanque.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://jovenescontralaviolencia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://kasaquea.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://manra.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://nosgustaelchiclet.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://perspectivamilitar.blogspot.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://pi2.com/isotonic/gentejoven/GENTE%20JOVEN.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://pluriculturalidadjuridica.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://radiochapincita.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sexmodel.wordpress.com,PORN,Pornography,2014-04-15,citizenlab,
http://tlc.ticoblogger.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://usuarios.lycos.es,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.abg.org.gt,DEV,Development,2014-04-15,citizenlab,
http://www.adesca.org.gt,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.albedrio.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.amatitlanesasi.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.asociacion-casaguatemala.es,HUMR,Human rights,2014-04-15,citizenlab,
http://www.asocirgua.com,PUBH,Public health,2014-04-15,citizenlab,
http://www.asogerxel.com,PUBH,Public health,2014-04-15,citizenlab,
http://www.avancso.org.gt,HUMR,Human rights,2014-04-15,citizenlab,
http://www.bahaiguate.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.bilaterals.org,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.blogsdeguatemala.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.cacif.org.gt,DEV,Development,2014-04-15,citizenlab,
http://www.caldh.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.casa-alianza.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.casatibetguatemala.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.ceibitafilms.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.chimaltenango.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cien.org.gt,DEV,Development,2014-04-15,citizenlab,
http://www.cnoc.org.gt,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.conavigua.org.gt,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.conocereisdeverdad.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.criptored.upm.es,HACK,Hacking,2014-04-15,citizenlab,
http://www.decreto9097.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.defiendetufe.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.derechos.net,HUMR,Human rights,2014-04-15,citizenlab,
http://www.detodounpocoenguate.blogspot.com,DEV,Development,2014-04-15,citizenlab,
http://www.dosesgua.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ecoportal.net,ENV,Environment,2014-04-15,citizenlab,
http://www.eleccionesguatemala.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.elmundodelasarmas.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.elsitiocultural.org,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.encuentroporguatemala.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.enred.prensalibre.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.este-pais.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.fantasiasguatemala.com/tabu/advertencia.html,PORN,Pornography,2014-04-15,citizenlab,
http://www.feminicidio.cl,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.fhrg.org/mambo/index.php,HUMR,Human rights,2014-04-15,citizenlab,
http://www.fondoindigena.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.frmt.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.fundacionpantaleon.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.fundadesc.org/InformeG/index.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://www.gana.com.gt,POLR,Political reform,2014-04-15,citizenlab,
http://www.gentepositiva.org.gt,PUBH,Public health,2014-04-15,citizenlab,
http://www.guateamala.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.gwu.edu/~nsarchiv/latin_america/guatemala.html,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.hackemate.com.ar,HACK,Hacking,2014-04-15,citizenlab,
http://www.hispabyte.net,HACK,Hacking,2014-04-15,citizenlab,
http://www.huelgadedolores.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.iccpg.org.gt,HUMR,Human rights,2014-04-15,citizenlab,
http://www.iglesia.net,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.iglesiaortodoxa.org.gt,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.indigenacampesino.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.juvea.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.lacuerda.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.latinamericanstudies.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.latinascontracancer.org,PUBH,Public health,2014-04-15,citizenlab,
http://www.literaturaguatemalteca.org,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.michiquimula.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mspas.gob.gt,PUBH,Public health,2014-04-15,citizenlab,
http://www.mujereshoy.com,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.nisgua.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.nodo50.org/tortuga/,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.noti7.com.gt,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ops.org.gt,PUBH,Public health,2014-04-15,citizenlab,
http://www.pasca.org,PUBH,Public health,2014-04-15,citizenlab,
http://www.pilascontuvoto.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.pormifamiliayporguate.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.prensanegragt.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.probigua.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.radioestrella.net,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.radionizkor.org/guatemala/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.raza-mexicana.org,HACK,Hacking,2014-04-15,citizenlab,
http://www.redgua.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.redporlapaz.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
