url,category_code,category_description,date_added,source,notes
http://afcnew.afcguyana.com,POLT,Political transformation,2014-04-15,citizenlab,
http://c-gid.net/index.php?option=com_content&view=frontpage&Itemid=1,POLR,Political reform,2014-04-15,citizenlab,
http://cariblogger.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://gp.gy,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://guyanafaces.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://gyconnectionz.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://pro.caribbeanaxis.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://saxakali.com/wpa/,POLT,Political transformation,2014-04-15,citizenlab,
http://visionguyana.blogspot.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.blackplanet.com,DATE,Dating,2014-04-15,citizenlab,
http://www.caribbeantrakker.com/category/guyana/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.caribvoice.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cariweb.com/main/authorization/doSignUp?target=http%3A%2F%2Fwww.cariweb.com%2F&quizattempt=1,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.cublogz.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.dharmshala.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.guyana.cc/forums/,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.guyanacaribbeanpolitics.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.guyanaobservernews.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.guyanapnc.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.higuyana.com/index.php?do=/blog/,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.likeachampion360.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.new-nation.net,POLT,Political transformation,2014-04-15,citizenlab,
http://www.rainbowvibes.com,DATE,Dating,2014-04-15,citizenlab,
http://www.sdnp.org.gy/cbr/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.stabroeknews.com/news/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.vibesconnect.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.vycguyana.net/index.php,HUMR,Human rights,2014-04-15,citizenlab,
http://www.westindiantube.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
