url,category_code,category_description,date_added,source,notes
http://123url.org,COMM,E-commerce,2014-04-15,citizenlab,
http://9nagatangkas.com,GAME,Gaming,2014-04-15,citizenlab,
http://anonymat.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://anonymizer.egroups.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://anonymousproxylist.net,COMM,E-commerce,2014-04-15,citizenlab,
http://aplusproxy.blogspot.com/2007/11/view-blocked-sites-with-random-ip-proxy.html,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://beritamuslim.wordpress.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://blahbleh.com/science/,MISC,Miscellaneous,2014-04-15,citizenlab,
http://blogg.loopia.se,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bolauntung.com,GMB,Gambling,2014-04-15,citizenlab,
http://ceritacerita.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://ceriwis.us/forumdisplay.php?f=127,GRP,Groups and social networking,2014-04-15,citizenlab,
http://crito.jw.lt,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/170,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/23,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/27,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/7,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://digg.com/news/entertainment/lalat_x_artis_bugil_indonesia_com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://dowranline.blogfa.com/post-75.aspx,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://e-hack.eu/bramka_proxy/,HACK,Hacking,2014-04-15,citizenlab,
http://exmuslim.wordpress.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://finance.groups.yahoo.com/group/hidden-men/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://gayindonesiaforum.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://ilga.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://indonbodoh.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://indonesia.faithfreedom.org/forum/muhammad-bukan-nabi-t1901/,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://islamexpose.blogspot.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://kostenlose-toplisten.de,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://muhammadture.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://myspacefilez.net/glype/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://pasarbola.net,GMB,Gambling,2014-04-15,citizenlab,
http://pass-fan.com/faq.php,GRP,Groups and social networking,2014-04-15,citizenlab,
http://perfectass.ws/proxy/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://profilselebryti.blogspot.com,PROV,Provocative attire,2014-04-15,citizenlab,
http://remainanonymouse.co.cc,MISC,Miscellaneous,2014-04-15,citizenlab,
http://rosinstrument.com/proxy/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://schnarre-monika.celebrityblog.net/cache.cgi,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://softsia.com/proxy-download-1.html,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://taruhan.org,GMB,Gambling,2014-04-15,citizenlab,
http://tech.groups.yahoo.com/group/proxyheaven/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://tech.groups.yahoo.com/group/webprivacy/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://theoldtigersden.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://thetend.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://trik.com/forum/showthread.php/proxy_list-20200.html,GRP,Groups and social networking,2014-04-15,citizenlab,
http://twitter.com/Centurian,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://uanon.com,GRP,Groups and social networking,2014-04-15,citizenlab,
