url,category_code,category_description,date_added,source,notes
http://alhag.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://angryarab.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://baghdadalrashid.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blogcritics.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/gay_rights_in_iraq,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gayguide.net,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gayswithoutborders.wordpress.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://iraqaction.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.acage.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ahewar.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.al-khoei.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.alarabiya.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alboraq.info,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.alhesbah.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.almokhtsar.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alnour.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.alquds.co.uk,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alumaaliraqia.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.amplusnet.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.ansarweb.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.antiwar.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.arabfaces.com,DATE,Dating,2014-04-15,citizenlab,
http://www.arabicbible.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.avoda.org.il,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.baath-party.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.baghdadsniper.net,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.bahai.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.banatfun.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.behidden.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.christiansofiraq.com/humanrightsmar136.html,HUMR,Human rights,2014-04-15,citizenlab,
http://www.coptic.net,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.danielpipes.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ebaa.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ezawaj.com,DATE,Dating,2014-04-15,citizenlab,
http://www.freearabvoice.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.gayarab.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.gaytelaviv.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.glas.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.glas.org/lazeeza.html,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.godhatesfags.com,HATE,Hate speech,2014-04-15,citizenlab,
http://www.hadash.org.il,POLT,Political transformation,2014-04-15,citizenlab,
http://www.hajr.org/forum/index.php,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.hereslife.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.humum.net/country/iraq.shtml,HUMR,Human rights,2014-04-15,citizenlab,
http://www.iaisite.info,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.idf.il,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.ikhwan.net/vb/,POLT,Political transformation,2014-04-15,citizenlab,
http://www.ikhwanweb.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.irakna.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.iraqcenter.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.iraqfoundation.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.iraqihome.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.iraqpatrol.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.irshadmanji.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.islamicdawaparty.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.israel.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.jfoiraq.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.kdp.pp.se,POLT,Political transformation,2014-04-15,citizenlab,
http://www.kurdsat.tv,POLR,Political reform,2014-04-15,citizenlab,
http://www.liberateiraq.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.likud.org.il,POLR,Political reform,2014-04-15,citizenlab,
http://www.meretz.org.il,POLR,Political reform,2014-04-15,citizenlab,
http://www.milta1980.co.uk,PORN,Pornography,2014-04-15,citizenlab,
http://www.muslimass.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.onlinearabia.net,DATE,Dating,2014-04-15,citizenlab,
http://www.puk.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.rafed.net,POLR,Political reform,2014-04-15,citizenlab,
http://www.rjfront.info,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.sat7.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.secularislam.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.shiaweb.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.sotaliraq.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.taqrir.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.tareeqalshaab.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.thebirdman.org,HATE,Hate speech,2014-04-15,citizenlab,
http://www.thekoran.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.thequran.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.toystore.co.il,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.wifaq.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.zawadj.net,DATE,Dating,2014-04-15,citizenlab,
