url,category_code,category_description,date_added,source,notes
http://7iber.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ajelonline.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alarrabnews.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alfaisalnews.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alhorralordonia.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alkaraknews.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://almasanews.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alwaraqnews.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://amjadnews.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ammancity.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://aqabatodaynews.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://asrarjo.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://attahadyatnews.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://jalaad.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://jordandays.tv,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://khabrjo.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://nabaalyawm.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://nytimes.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://petranews.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://rumfm.net\home,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sawtalbalad.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://senarahnews.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://solj-ghal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://voicejo.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.3rbnews.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
