url,category_code,category_description,date_added,source,notes
http://en.wikipedia.org/wiki/LGBT_rights_in_Kenya,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gaykenya.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gukira.wordpress.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://jihad-e-informacion.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://kenyaglobe.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://kenyantg.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://kenyauptodate.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://new-democrats.org,POLR,Political reform,2014-04-15,citizenlab,
http://nudekenya.com,PORN,Pornography,2014-04-15,citizenlab,
http://sw.globalvoicesonline.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://vitukali.com,PORN,Pornography,2014-04-15,citizenlab,
http://womenontherun.se/node/42,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.afrakenya.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.bbc.co.uk/swahili/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cmd-kenya.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.cmd-kenya.org/party.php?ppid=33&partyname=People%27s%20Party%20Of%20Kenya,POLR,Political reform,2014-04-15,citizenlab,
http://www.ehealth.or.ke/facilities/facility.aspx?fas=13187,POLR,Political reform,2014-04-15,citizenlab,
http://www.epapercatalog.com/epaper/taifaleo-epaper.php,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.icrh.org/geography/kenya,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.kenya4.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.knchr.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.minoritywomeninaction.co.ke,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.nairobinights.co.cc,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.odm.co.ke,POLR,Political reform,2014-04-15,citizenlab,
http://www.standardmedia.co.ke,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.tikenya.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.transgenderkenya.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.wikileaks.org/wiki/The_looting_of_Kenya_under_President_Moi,POLR,Political reform,2014-04-15,citizenlab,
https://www.bkms-system.net/bkwebanon/report/clientInfo?cin=111KACC33&language=eng,POLR,Political reform,2014-04-15,citizenlab,
https://www.facebook.com/people/William-Ruto/1487501217,POLR,Political reform,2014-04-15,citizenlab,
