url,category_code,category_description,date_added,source,notes
http://adilet.kg,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://anticorruption.kg,POLR,Political reform,2014-04-15,citizenlab,
http://blog.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bulbul.kg,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://dialog.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://eng.24.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://fergana.akipress.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://furqon.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://golossvobody.kloop.kg,HUMR,Human rights,2014-04-15,citizenlab,
http://kabar.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://kabar.kg/kyr,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://kloop.kg,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://lenta.com.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://madein.kg/ru/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://namba.kg,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://neweurasia.net/kyrgyzstan/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://obs.kg,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://pravda.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://republic.kg,POLR,Political reform,2014-04-15,citizenlab,
http://rus.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://russian.eurasianet.org/resource/kyrgyzstan,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://vesti.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.24kg.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.akipress.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.barakelde.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ca-news.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.comment.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.diesel.elcat.kg,POLR,Political reform,2014-04-15,citizenlab,
http://www.eng.zpress.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.fergananews.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.fti.org.kg,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.gipi.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ibc.kg,DEV,Development,2014-04-15,citizenlab,
http://www.internetpolicy.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ipp.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ipp.kg/ru/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.karakol.name,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.kg.zpress.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.knews.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.kyrgyzpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.limon.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.meken.biz,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.monitoring.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.monitoring.kg/?newlang=kyr,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.msc.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.neweurasia.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.news.namba.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.open.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.osh.kg,ENV,Environment,2014-04-15,citizenlab,
http://www.presskg.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.super.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.tazar.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.vb.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.zpress.kg,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
