url,category_code,category_description,date_added,source,notes
http://agora.media.daum.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://aindf.dyndns.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://anjali.uncovered.com,PORN,Pornography,2014-04-15,citizenlab,
http://asiansmaster.com,PORN,Pornography,2014-04-15,citizenlab,
http://betasia.com,GMB,Gambling,2014-04-15,citizenlab,
http://blog.daum.net/pice265/7707627,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://cafe.daum.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://cafe.daum.net/pridecare,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://creamasia.com,PORN,Pornography,2014-04-15,citizenlab,
http://cyworld.nate.com/club/clubsection/clubSection4_main.asp,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://docuin.jinbo.net,HUMR,Human rights,2014-04-15,citizenlab,
http://dsure.yright.org,POLR,Political reform,2014-04-15,citizenlab,
http://eng.peoplepower21.org,HUMR,Human rights,2014-04-15,citizenlab,
http://english.hani.co.kr,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://english.yna.co.kr,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://exzone.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://freedom.jinbo.net,POLR,Political reform,2014-04-15,citizenlab,
http://groups.yahoo.com/adultconf?dest=%2Fgroup%2Fkoreanmale%2F,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://hcy.jinbo.net,POLR,Political reform,2014-04-15,citizenlab,
http://hotzone.yahoo.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://hrnet.jinbo.net,HUMR,Human rights,2014-04-15,citizenlab,
http://hrw.org/doc/?t=asia&c=skorea,HUMR,Human rights,2014-04-15,citizenlab,
http://hypercortex.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://indianfriendfinder.com,DATE,Dating,2014-04-15,citizenlab,
http://ivancity.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://joins.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ko.internationalism.org,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://kr.yahoo.com,SRCH,Search engines,2014-04-15,citizenlab,
http://lgbt.kdlp.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://members.tripod.com/~INDIA_RESOURCE/savoice.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://minbyun.jinbo.net,POLR,Political reform,2014-04-15,citizenlab,
http://myhome.naver.com/justeco/,POLR,Political reform,2014-04-15,citizenlab,
http://ndfsk.dyndns.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://new.kaids.or.kr,PUBH,Public health,2014-04-15,citizenlab,
http://nocensor.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ob-gy.co.kr,XED,Sex education and family planning,2014-04-15,citizenlab,
http://omadam1.net,PORN,Pornography,2014-04-15,citizenlab,
http://outpridekorea.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://qtv.freechal.com,ENV,Environment,2014-04-15,citizenlab,
http://redmanga.co.kr,PORN,Pornography,2014-04-15,citizenlab,
http://sex.clinic.co.kr,XED,Sex education and family planning,2014-04-15,citizenlab,
http://sfkuk.freeservers.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://thai-xxx.com,PORN,Pornography,2014-04-15,citizenlab,
http://thaicherry.com,PORN,Pornography,2014-04-15,citizenlab,
http://thaigirlsnaked.com,PORN,Pornography,2014-04-15,citizenlab,
http://thaisweeties.com,PORN,Pornography,2014-04-15,citizenlab,
http://tsthai.com,PORN,Pornography,2014-04-15,citizenlab,
