url,category_code,category_description,date_added,source,notes
http://4proxy.de,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://ajur.kz,HUMR,Human rights,2014-04-15,citizenlab,
http://anonymaizer.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://biggdi.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://borat.kz,PROV,Provocative attire,2014-04-15,citizenlab,
http://caucase.wordpress.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://citizentube.com,POLR,Political reform,2014-04-15,citizenlab,
http://comment-respublika.info,POLR,Political reform,2014-04-15,citizenlab,
http://comport.region.kz/forum/index.php,MISC,Miscellaneous,2014-04-15,citizenlab,
http://din-islam.ru,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://djamalat.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://forum.ferghana.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://forum.voinenet.ru,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://freeproxy.ru,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://gcup.ru,GAME,Gaming,2014-04-15,citizenlab,
http://hideme.ru,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://inkar.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://islam.ru,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://janaozen.net,POLT,Political transformation,2014-04-15,citizenlab,
http://kaznet-freedom.org,HUMR,Human rights,2014-04-15,citizenlab,
http://kiss.kz,DATE,Dating,2014-04-15,citizenlab,
http://knpk.kz,POLR,Political reform,2014-04-15,citizenlab,
http://krasnoetv.kz,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://kub.info,POLT,Political transformation,2014-04-15,citizenlab,
http://kzmz.region.kz,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://maps.google.com,POLT,Political transformation,2014-04-15,citizenlab,
http://minber.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://namba.kz,GRP,Groups and social networking,2014-04-15,citizenlab,
http://newsland.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://pavlodar.ru,GRP,Groups and social networking,2014-04-15,citizenlab,
http://podkazt.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://qazaq.kz,POLR,Political reform,2014-04-15,citizenlab,
http://respublika-d2.com,POLT,Political transformation,2014-04-15,citizenlab,
http://respublika-kaz.net,POLT,Political transformation,2014-04-15,citizenlab,
http://respublika-kz.blogspot.ru,POLT,Political transformation,2014-04-15,citizenlab,
http://ru.kazakhstan.neweurasia.net,MISC,Miscellaneous,2014-04-15,citizenlab,
http://sarap.kz,POLT,Political transformation,2014-04-15,citizenlab,
http://stan.tv,POLT,Political transformation,2014-04-15,citizenlab,
http://time.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://vesti.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://vstrecha.kz,DATE,Dating,2014-04-15,citizenlab,
http://webwarper.net,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.ablyazov.info,POLT,Political transformation,2014-04-15,citizenlab,
http://www.adultdvdhits.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.akorda.kz,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.aljazeera.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.apn.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.astaninki.com,PROV,Provocative attire,2014-04-15,citizenlab,
http://www.award.kz,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.baiterek.kz,POLR,Political reform,2014-04-15,citizenlab,
http://www.blog.kz,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.boratdvd.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.centrasia.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.dialog.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.eroman.ru,PORN,Pornography,2014-04-15,citizenlab,
http://www.express-k.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.fgulen.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.gay.kz,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.geokz.tv,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.halykbank.kz,COMM,E-commerce,2014-04-15,citizenlab,
http://www.iwpr.net/?apc_state=henprca&l=ru&p=rca&s=p,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.kazrena.kz,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.kompromat.kz,POLR,Political reform,2014-04-15,citizenlab,
http://www.kub.kz,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.kzblog.net,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.liveinternet.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.medianet.kz,HUMR,Human rights,2014-04-15,citizenlab,
http://www.meta.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.muftyat.kz,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.newsfactory.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.nomad.su,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.npdvk.kz,POLR,Political reform,2014-04-15,citizenlab,
http://www.osdp.kz,POLR,Political reform,2014-04-15,citizenlab,
http://www.panorama.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.presscenter.kz,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.respublika.kz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.russians.kz,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.sanasezim.freenet.kz,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.strana.kz,DATE,Dating,2014-04-15,citizenlab,
http://www.titus.kz/?type=krkor&previd=138429592046cf5bf3,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.toiganbayev.kz,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.tuyakbai.info,POLT,Political transformation,2014-04-15,citizenlab,
http://www.xgate.kz,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.zhakiyanov.kz,POLT,Political transformation,2014-04-15,citizenlab,
http://zhandos.nursat.kz/cgi-bin/chat/chat.pl,GRP,Groups and social networking,2014-04-15,citizenlab,
