url,category_code,category_description,date_added,source,notes
http://angryarab.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://arabsex2.com,PORN,Pornography,2014-04-15,citizenlab,
http://blogs.albawaba.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://gaymiddleeast.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://jeeran.com/blogs/,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://libyan-national-activities.com,POLR,Political reform,2014-04-15,citizenlab,
http://onearabworld.blog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sijill.tripod.com,POLR,Political reform,2014-04-15,citizenlab,
http://translate.sakhr.com/Sakhr/eLogin.aspx,TRNS,Translation,2014-04-15,citizenlab,
http://www.abtallibya.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.ahewar.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.akhbar-libyaonline.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.alalam.ir,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alarabiya.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alcoholreviews.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.algathafi.tv,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.allahsassurance.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.almanaralink.com/new/index.php,POLT,Political transformation,2014-04-15,citizenlab,
http://www.alnaddy.com,DATE,Dating,2014-04-15,citizenlab,
http://www.alsakifah.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.alt-libya.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.amin.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.arabfaces.com,DATE,Dating,2014-04-15,citizenlab,
http://www.arabicbible.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.arabo.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.arabsdir.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.arabvista.org,SRCH,Search engines,2014-04-15,citizenlab,
http://www.avoda.org.il,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.azzaman.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bahai-faith.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.banatal3arab.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.blogmisr.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.buqnah.net,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.cpj.org/index.html,HUMR,Human rights,2014-04-15,citizenlab,
http://www.dolcefood.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.duke.org,HATE,Hate speech,2014-04-15,citizenlab,
http://www.elaph.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.eyoon.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.fredericks.com,PROV,Provocative attire,2014-04-15,citizenlab,
http://www.freedomhouse.org/template.cfm?page=1,HUMR,Human rights,2014-04-15,citizenlab,
http://www.gaymiddleeast.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.glas.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.google.ae,SRCH,Search engines,2014-04-15,citizenlab,
http://www.goslingsrum.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.hadash.org.il,POLT,Political transformation,2014-04-15,citizenlab,
http://www.haya.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.hrea.org/ar/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.idf.il,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.ikhwanweb.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.islamonline.net/Arabic/index.shtml,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.jadal.org/?page_id=5,POLR,Political reform,2014-04-15,citizenlab,
http://www.justadultsites.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.kelma.org/kelmaghreb.htm,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.lasenza.com/eng/index.cfm,PROV,Provocative attire,2014-04-15,citizenlab,
http://www.lhrs.ch,HUMR,Human rights,2014-04-15,citizenlab,
http://www.libya-alhora.com/forum/index.php,POLT,Political transformation,2014-04-15,citizenlab,
http://www.libya-alyoum.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.libya-watch.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.libyadaily.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.libyaimal.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.libyana.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.libyanboyscout.com/muntada/,POLT,Political transformation,2014-04-15,citizenlab,
http://www.libyanconstitutionalunion.net,POLT,Political transformation,2014-04-15,citizenlab,
http://www.libyanhumanrights.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.likud.org.il,POLR,Political reform,2014-04-15,citizenlab,
http://www.maktoob.com,EMAIL,Free email,2014-04-15,citizenlab,
http://www.martinlutherking.org,HATE,Hate speech,2014-04-15,citizenlab,
http://www.meretz.org.il,POLR,Political reform,2014-04-15,citizenlab,
http://www.middle-east-online.com/libya,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mixed-drink.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.multaqa.org/arabic.php,POLR,Political reform,2014-04-15,citizenlab,
http://www.netarabic.com/vb/,PORN,Pornography,2014-04-15,citizenlab,
http://www.nicks.com.au/index.aspx?,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.pi-libya.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.radiosawa.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.rezgar.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ru4arab.ru/marry.htm,DATE,Dating,2014-04-15,citizenlab,
http://www.search.arabs-online.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.secularislam.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.taqrir.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.the-good-way.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.thegrace.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.thenewlibya.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.tibsty.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.transparency-libya.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.winebid.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.yandy.com,PROV,Provocative attire,2014-04-15,citizenlab,
https://www.cia.gov/cia/publications/factbook/geos/ly.html,FREL,Foreign relations and military,2014-04-15,citizenlab,
