url,category_code,category_description,date_added,source,notes
http://900.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://actiunea2012.ro,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alerte.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://amor.md,DATE,Dating,2014-04-15,citizenlab,
http://avto-pmr.ru,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://biblionline.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://blogs.euobserver.com/popescu/,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://cenusadi.wordpress.com,POLT,Political transformation,2014-04-15,citizenlab,
http://cezarsalahor.wordpress.com,POLT,Political transformation,2014-04-15,citizenlab,
http://chisinau.mae.ro,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://club-cdma.ru,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://comunist.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://cubreacov.wordpress.com,POLT,Political transformation,2014-04-15,citizenlab,
http://dnestr.tv,POLT,Political transformation,2014-04-15,citizenlab,
http://dodon.md,POLT,Political transformation,2014-04-15,citizenlab,
http://elim.com.md,HUMR,Human rights,2014-04-15,citizenlab,
http://euobserver.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://forum-pmr.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://forum.idknet.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://fotoclub-pmr.ru,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://freetorrmd.ru,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://ghenadiebrega.wordpress.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://grenada.md,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://iurierosca.md,POLT,Political transformation,2014-04-15,citizenlab,
http://love.gay.ru,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://marykay.md,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://memoria.md,POLR,Political reform,2014-04-15,citizenlab,
http://minjust.org/web.nsf,POLT,Political transformation,2014-04-15,citizenlab,
http://mobiboom.md/index.php,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://moldova.go.ro,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://moldova.usaid.gov,POLR,Political reform,2014-04-15,citizenlab,
http://moldovean.eu,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mvdpmr.org,POLT,Political transformation,2014-04-15,citizenlab,
http://natmorar.livejournal.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://news.bbc.co.uk/hi/russian/news/default.stm,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
