url,category_code,category_description,date_added,source,notes
http://7monkeys.blogspot.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://abfsu.net,HUMR,Human rights,2014-04-15,citizenlab,
http://absdfau.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://adb.org,DEV,Development,2014-04-15,citizenlab,
http://ainmetdiary.blogspot.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://anjali.uncovered.com,PORN,Pornography,2014-04-15,citizenlab,
http://arakanhrdo.org,HUMR,Human rights,2014-04-15,citizenlab,
http://arakantimes.net/burmese/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://arrbyai.blogspot.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://artixlin.blogspot.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://asia.wsj.com/public/page/opinionasia.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://asiansmaster.com,PORN,Pornography,2014-04-15,citizenlab,
http://au.groups.yahoo.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://awlanmg.blogspot.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://ayechan.blogspot.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://balargout.blogspot.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bestrefer.atspace.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://blog.mghla.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bluearrow07.blogspot.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bobohein.blogspot.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://burma.ahrchk.net,HUMR,Human rights,2014-04-15,citizenlab,
http://burmadictatorwatch.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://burmadigest.wordpress.com,POLT,Political transformation,2014-04-15,citizenlab,
http://burmanews.cbox.ws,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://burmese.bnionline.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
