url,category_code,category_description,date_added,source,notes
http://abdalladiery.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://ahlulbait12.jeeran.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://albrhan.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://allafrica.com/mauritania/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://angryarab.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://arabic.peopledaily.com.cn,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bbcarabic.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blogs.nouvelobs.com/Boolumbal/,POLT,Political transformation,2014-04-15,citizenlab,
http://chakahafed.ifrance.com/modules/mylinks/visit.php?cid=1&lid=1,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://contre-x.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://de.geocities.com/chinghit2/,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://eljoud.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Action_for_Change,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Al-Mithaq,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/LGBT_rights_in_Mauritania,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Mauritania,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Polisario,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Status_of_religious_freedom_in_Mauritania,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://flamus.net,POLT,Political transformation,2014-04-15,citizenlab,
http://folies-mauritaniennes.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://frontpopulaire.ifrance.com,POLR,Political reform,2014-04-15,citizenlab,
http://gayguide.net,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gayswithoutborders.wordpress.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/al7aaalm/,PORN,Pornography,2014-04-15,citizenlab,
http://groups.yahoo.com/group/BNAT_MASR/,PORN,Pornography,2014-04-15,citizenlab,
http://groups.yahoo.com/group/fahdalkldi/?yguid=101737945,PORN,Pornography,2014-04-15,citizenlab,
http://groups.yahoo.com/group/games_programs_4arab/,GAME,Gaming,2014-04-15,citizenlab,
http://groups.yahoo.com/group/glaslebanon/,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/lesbianmuslims,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/muslimgaymen,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/transmuslims,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://hosting.egcomp.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://ikhwanonline.org,POLT,Political transformation,2014-04-15,citizenlab,
http://jeeran.com/blogs/,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://liqraa.ifrance.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mail.naseej.com,EMAIL,Free email,2014-04-15,citizenlab,
http://mail.wearab.net/arabic/,EMAIL,Free email,2014-04-15,citizenlab,
http://members.aol.com,POLT,Political transformation,2014-04-15,citizenlab,
http://members.aol.com/casmasalc/,HUMR,Human rights,2014-04-15,citizenlab,
http://membres.lycos.fr/faas/,POLT,Political transformation,2014-04-15,citizenlab,
http://membres.lycos.fr/faas/collectif-2,POLT,Political transformation,2014-04-15,citizenlab,
http://membres.lycos.fr/JournalRefus/,POLT,Political transformation,2014-04-15,citizenlab,
http://metallicnaddou.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mohamedtolba.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://nakirah.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://non-a-ould-dadah.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://pmde.hautetfort.com,ENV,Environment,2014-04-15,citizenlab,
http://pub19.bravenet.com/chat/show.php/1622080083,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://saidoukane.blogspace.fr,POLR,Political reform,2014-04-15,citizenlab,
http://shuhood.org/news/121/,HUMR,Human rights,2014-04-15,citizenlab,
http://snesup.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://today.reuters.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.14masom.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.3rbpro.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://www.5tt5.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://www.6on6.com,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.abudhabiescort.com,DATE,Dating,2014-04-15,citizenlab,
http://www.acage.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.afp.com/arabic/home/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ahmed-ould-daddah2007.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.akhbarnouakchott.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alahssa-alkateef.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.alakhbar.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alarabiya.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.albawaba.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alhesbah.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.allahsassurance.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.almashhed.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.almisbar.com/salam_trans_a.html,TRNS,Translation,2014-04-15,citizenlab,
http://www.alnaddy.com,DATE,Dating,2014-04-15,citizenlab,
http://www.alquds.co.uk,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alzawag.com,DATE,Dating,2014-04-15,citizenlab,
