url,category_code,category_description,date_added,source,notes
http://amorporjuarez.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://anonimosmexico.socialgo.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://base.espora.org/tiki-index.php,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://centroprodh.org.mx/casos/index_casos.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://centroprodh.org.mx/de_fondho/index_defondo.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://centroprodh.org.mx/index1.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://chiapas.indymedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://circulodeestudioscoapa.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://eluniversalgrafico.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://espora.org/comitecerezo/amenazas.php3,HUMR,Human rights,2014-04-15,citizenlab,
http://espora.org/revueltas/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://fundar.org.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://internetnecesario.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://juarez.heroreports.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://maldeojotv.net/spip.php?breve21&var_mode=calcul,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/agua,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/podcast,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/tiki-download_file.php?fileId=300,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/tiki-index.php?page=Atenco,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/tiki-index.php?page=EdoMex,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/tiki-index.php?page=MultimediaOaxaca,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/tiki-index.php?page=OtraDifusion,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/tiki-index.php?page=PFP,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/tiki-index.php?page=PresosPoliticos,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/tiki-index.php?page=SistemaCarcelario,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/tiki-list_file_gallery.php?galleryId=48,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mexico.indymedia.org/video,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://music.napster.com/artist-music/tracks/12390707/?artist_id=12390707,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://nuestromexicobizarro.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://opendata.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://portal.radiobemba.org/streaming,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://revolucionesmx.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://socialismo.blogsome.com,POLT,Political transformation,2014-04-15,citizenlab,
http://videos.eluniversal.com.mx/videos.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.aca-novenet.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alternativa.org.mx/default.asp?id=386,POLT,Political transformation,2014-04-15,citizenlab,
http://www.alternativa.org.mx/default.asp?proceso=saladeprensa,POLT,Political transformation,2014-04-15,citizenlab,
http://www.alternativadf.org.mx,POLT,Political transformation,2014-04-15,citizenlab,
http://www.amdh.com.mx,HUMR,Human rights,2014-04-15,citizenlab,
http://www.amdh.com.mx/ombudsweb/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.animalpolitico.com,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.blogdelnarco.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cambioenlinea.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cdh-chiapas.org.mx,HUMR,Human rights,2014-04-15,citizenlab,
http://www.cdi.gob.mx,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.cdi.gob.mx/audio_cdi/voces/voces_zezv_totopos.ram,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cdi.gob.mx/index.php?id_seccion=1558,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cdi.gob.mx/informe2006/CDI_informe_2006.pdf,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.ciepac.org/boletines/ultimo.php,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ciepac.org/foros/ultimos.php,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ciepac.org/mapas/militares/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ciepac.org/neoliberal/index.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ciepac.org/temas/quesla-appo.pdf,HUMR,Human rights,2014-04-15,citizenlab,
http://www.conganas.org.mx,HUMR,Human rights,2014-04-15,citizenlab,
http://www.cronica.com.mx/refresh.php,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.derechoshumanos.org.mx,HUMR,Human rights,2014-04-15,citizenlab,
http://www.derechoshumanos.org.mx/modules.php?name=Acciones_Urgentes,HUMR,Human rights,2014-04-15,citizenlab,
http://www.derechoshumanos.org.mx/modules.php?name=Content&pa=showpage&pid=30,HUMR,Human rights,2014-04-15,citizenlab,
http://www.derechoshumanosenmexico.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.derechoshumanosenmexico.org/informemilitares07.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://www.derechoshumanosenmexico.org/Secciones/Medio%20Ambiente.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://www.despertardelsur.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.diario.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.diario21.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.diariodecolima.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.diariodemexicousa.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.diariomonitor.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.el-mexicano.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.eldiariodechihuahua.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.elnuevosiglo.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.elporvenir.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.elsur.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.enfoqueinformativo.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.espora.org/klat/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.florafaunaycultura.org,ENV,Environment,2014-04-15,citizenlab,
http://www.frayba.org.mx/acciones_urgentes.php,HUMR,Human rights,2014-04-15,citizenlab,
http://www.frayba.org.mx/index.php,HUMR,Human rights,2014-04-15,citizenlab,
http://www.frontera.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.fuerzaciudadana.org.mx/forojuvenil/FORO%20JUVENIL%202005-20061.pdf,POLT,Political transformation,2014-04-15,citizenlab,
http://www.fuerzaciudadana.org.mx/noticias/index.html,POLT,Political transformation,2014-04-15,citizenlab,
http://www.fzln.org.mx,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.impactolegislativo.org.mx/sitio/,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.informador.com.mx/informador/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.johnackerman.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.jps.org.mx,POLT,Political transformation,2014-04-15,citizenlab,
http://www.jps.org.mx/documentos/llamamiento.html,POLT,Political transformation,2014-04-15,citizenlab,
http://www.lacrisis.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.lajornadamorelos.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.laneta.apc.org/cidhmor/agenda-mujeres.html,HUMR,Human rights,2014-04-15,citizenlab,
http://www.laneta.apc.org/sinfronteras/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.launion.com.mx,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mexicodenuncia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mexicodenuncia.org/amenazas.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mexicodenuncia.org/extorsion.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mexicodenuncia.org/index1.htm,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mexicodenuncia.org/pfp.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mexicodenuncia.org/registros.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mexicounido.org.mx,HUMR,Human rights,2014-04-15,citizenlab,
http://www.mexicounido.org.mx/investigacionpaginas.html,HUMR,Human rights,2014-04-15,citizenlab,
http://www.mujeres.amnistia.org.mx/section.php?name=ciudadjuarez,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.mujeres.amnistia.org.mx/section.php?name=informes_23112004,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.natlaw.com/mexico/diario/diario.htm,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.nueva-alianza.org.mx,POLT,Political transformation,2014-04-15,citizenlab,
