url,category_code,category_description,date_added,source,notes
http://anwaribrahimblog.com,POLR,Political reform,2014-04-15,citizenlab,
http://bbs.buysell.net.my,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://bersih.org,POLR,Political reform,2014-04-15,citizenlab,
http://blogsentral.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bravingkl.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://centre.com.my,SRCH,Search engines,2014-04-15,citizenlab,
http://en.rsf.org/article.php3?id_article=20789,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://forum.lowyat.net,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://freedomhouse.org/template.cfm?page=140&edition=7&ccrpage=31&ccrcountry=134,HUMR,Human rights,2014-04-15,citizenlab,
http://hindraf.com,MINF,Minority faiths,2014-04-15,citizenlab,
http://hrw.org/english/docs/2005/01/13/malays9822.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://indianfriendfinder.com,DATE,Dating,2014-04-15,citizenlab,
http://mail.malaysia.com,EMAIL,Free email,2014-04-15,citizenlab,
http://malaysia-today.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://medicine.com.my,XED,Sex education and family planning,2014-04-15,citizenlab,
http://mercumaya.net,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://ms.wikipedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mt.m2day.org,POLR,Political reform,2014-04-15,citizenlab,
http://news.bbc.co.uk/2/hi/asia-pacific/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://politics101malaysia.blogsome.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sarawak-national-party.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://skandal.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://syedshahir.blogsome.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://twitter.com/#!/bersih2,POLR,Political reform,2014-04-15,citizenlab,
http://twitter.com/#!/insider_latest,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://twitter.com/#!/LoyarBurok,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://twitter.com/#!/PusatRakyatLB,HUMR,Human rights,2014-04-15,citizenlab,
http://twitter.com/#!/sistersinislam,HUMR,Human rights,2014-04-15,citizenlab,
http://twitter.com/#!/SUHAKAM,HUMR,Human rights,2014-04-15,citizenlab,
http://virtualfriends.net,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.99pinkrose.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.agendadaily.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.aliran.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.allmalaysia.info,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.amrc.org.hk,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.apwld.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.arrc-hre.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.aseansec.org,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.asiafinest.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.asiafoundation.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.asian-migrants.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.asiansexgazette.com,PUBH,Public health,2014-04-15,citizenlab,
http://www.asiaobserver.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.asiatour.com,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.awam.org.my,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.bharian.com.my,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bismikaallahuma.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.bn.org.my/alliance.html,POLR,Political reform,2014-04-15,citizenlab,
http://www.bumiputerasarawak.org.my,POLR,Political reform,2014-04-15,citizenlab,
http://www.caramasia.org,PUBH,Public health,2014-04-15,citizenlab,
http://www.carikawan.com,DATE,Dating,2014-04-15,citizenlab,
http://www.casinocity.com/my/cities.html,GMB,Gambling,2014-04-15,citizenlab,
http://www.cetdem.org.my,ENV,Environment,2014-04-15,citizenlab,
http://www.channelnewsasia.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cijmalaysia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.cpps.org.my,POLR,Political reform,2014-04-15,citizenlab,
http://www.dapmalaysia.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.dating.com.my,DATE,Dating,2014-04-15,citizenlab,
http://www.dragonraja.com.my,GAME,Gaming,2014-04-15,citizenlab,
http://www.emedia.com.my,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ewrf.org.my,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.facebook.com/CijMalaysia,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.facebook.com/pages/BERSIH-20-OFFICIAL/213938935311531,POLR,Political reform,2014-04-15,citizenlab,
http://www.facebook.com/suararakyatmalaysia,HUMR,Human rights,2014-04-15,citizenlab,
http://www.fes.org.my,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.fomca.org.my,POLR,Political reform,2014-04-15,citizenlab,
http://www.forplu.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.freeanwar.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.gayrice.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.genting.com.my,GAME,Gaming,2014-04-15,citizenlab,
http://www.globalgayz.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.guangming.com.my,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.harakahdaily.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.hati.org.my,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.hindusangam.org.my,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.hivpolicy.org,PUBH,Public health,2014-04-15,citizenlab,
http://www.humanrights.asia,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ilo.org/public/english/region/asro/bangkok/child/trafficking/index.htm,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.iwraw-ap.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.jeffooi.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
