url,category_code,category_description,date_added,source,notes
http://sex.healthguru.com,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.cthulhusex.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.elephantlist.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.freesexvideos2k.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.huffingtonpost.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mahalo.com/sex,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.nepalibhalus.blogspot.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.pinkworld.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.redtube.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.seditionaries.com,COMM,E-commerce,2014-04-15,citizenlab,
http://www.sex-panther.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.sexaa.org,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.sexandthecitymovie.com/dvd/,COMM,E-commerce,2014-04-15,citizenlab,
http://www.sexpistolsofficial.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.smartersex.org,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.swegold.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.tube8.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.utube.com,COMM,E-commerce,2014-04-15,citizenlab,
http://www.wifemovies.net,PORN,Pornography,2014-04-15,citizenlab,
http://www.younger19.com,PORN,Pornography,2014-04-15,citizenlab,
http:/www.home-made-videos.com,PORN,Pornography,2014-04-15,citizenlab,
