url,category_code,category_description,date_added,source,notes
http://alsaha.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://angryinoman.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://anonym.to,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE_%D8%B9%D9%8F%D9%85%D8%A7%D9%86,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D8%B3%D9%8A%D8%A7%D8%B3%D8%A9_%D8%B3%D9%84%D8%B7%D9%86%D8%A9_%D8%B9%D9%85%D8%A7%D9%86,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://arabic.peopledaily.com.cn,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://armbeans.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://bloggers4oman.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://bloodmirror.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://bobbybollo.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://callname.info,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://clubtanker.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://darknotions.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/23,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://dogfixer.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Foreign_relations_of_Oman,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Oman,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Sultan_of_Oman%27s_Armed_Forces,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://firebunny.info,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://friedmice.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://gayguide.net,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gayswithoutborders.wordpress.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://gravehead.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://hrw.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://hustler.com,PORN,Pornography,2014-04-15,citizenlab,
http://info.k4health.org/endvaw/,WOMR,Women's rights,2014-04-15,citizenlab,
http://jeeran.com/blogs/,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://kenlydell.typepad.com/islamic_evil/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://moonwheel.info,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://omaniablogs.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://omanwaves.com,POLR,Political reform,2014-04-15,citizenlab,
http://pigfork.info,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://playboy.com,PORN,Pornography,2014-04-15,citizenlab,
http://rockbuzzer.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://snapcool.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://starmilk.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://treebrain.info,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.1oman.com/bb/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ahewar.org/debat/nr.asp,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alalam.ir,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.aljesr.nl,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.almktaba.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.alquma.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.anti-cair-net.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.arabicbible.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.azzaman.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bahai.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.bayynat.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.behidden.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.coptic.net/EncyclopediaCoptica/,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.danielpipes.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.elaph.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.freearabvoice.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.galilcol.ac.il,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.gaytravelnet.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.globalgayz.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.gulfissues.net,POLR,Political reform,2014-04-15,citizenlab,
http://www.heretical.com,HATE,Hate speech,2014-04-15,citizenlab,
http://www.ikhwan.net/forum/index.php,POLR,Political reform,2014-04-15,citizenlab,
http://www.irshadmanji.com/arabic-edition,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.jari7.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.kanzalarb.com/vb/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.light-of-life.com,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.majalisna.com/oman/,POLR,Political reform,2014-04-15,citizenlab,
http://www.middle-east-online.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.middleeasttransparent.com/spip.php?page=sommaire&lang=ar,POLR,Political reform,2014-04-15,citizenlab,
http://www.mossad.gov.il/default.aspx,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.muslim-refusenik.com.,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.najed.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.nizwa.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.omanlover.org/vb/forum.php,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.omanya.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.radiosawa.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.sharmota.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.slalah.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.sx-education.org,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.tase.co.il/eng/pages/homepage.aspx,COMM,E-commerce,2014-04-15,citizenlab,
http://www.thebirdman.org,HATE,Hate speech,2014-04-15,citizenlab,
http://www.thekoran.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
https://www.corkmass.com/bottle/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
https://www.gravepaper.com/pencil/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
https://www.jointglobe.com/rotate/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
https://www.tornface.com/nose/,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
