url,category_code,category_description,date_added,source,notes
http://anakpawis.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://bangsa.wordpress.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://blog.wyzemoro.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://clearblogs.com/sam,ENV,Environment,2014-04-15,citizenlab,
http://codengo.org,DEV,Development,2014-04-15,citizenlab,
http://goodbyegloria.com,POLR,Political reform,2014-04-15,citizenlab,
http://groups.google.com/group/soc.culture.filipino/topics?lnk=sg,GRP,Groups and social networking,2014-04-15,citizenlab,
http://groups.yahoo.com/group/Patriots_of_the_Philippines/,GRP,Groups and social networking,2014-04-15,citizenlab,
http://home.casema.nl,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://hrw.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://hrw.org/reports/2007/philippines0607/,HUMR,Human rights,2014-04-15,citizenlab,
http://kilosbayan.org,POLR,Political reform,2014-04-15,citizenlab,
http://mbaceron.agalaw.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mnlf.net,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://news.bbc.co.uk/2/hi/asia-pacific/1695576.stm,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://npcparty.org,POLR,Political reform,2014-04-15,citizenlab,
http://philippinecollegian.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://philippinesfreepress.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://pinoyscandalo.com,PORN,Pornography,2014-04-15,citizenlab,
http://stopthekillings.org,HUMR,Human rights,2014-04-15,citizenlab,
http://tonyocruz.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://web.amnesty.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.abante.com.ph,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.akbayan.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.angladlad.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.asiamedia.ucla.edu,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bangsamoro.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.blacknwhite-movement.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.cebuanas.com,DATE,Dating,2014-04-15,citizenlab,
http://www.cfr.org/publication/9235/,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.congress.gov.ph,POLR,Political reform,2014-04-15,citizenlab,
http://www.crisisgroup.org/home/index.cfm?id=2861,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.dfa.gov.ph,POLR,Political reform,2014-04-15,citizenlab,
http://www.ellentordesillas.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.facebook.com/giboteodoro?_fb_noscript=1,POLR,Political reform,2014-04-15,citizenlab,
http://www.filipinaporn.org,PORN,Pornography,2014-04-15,citizenlab,
http://www.fireflybrigade.org,ENV,Environment,2014-04-15,citizenlab,
http://www.freewebs.com/mccpilipinas/,GAYL,Gay-lesbian,2014-04-15,citizenlab,
