url,category_code,category_description,date_added,source,notes
http://afghanreality.blogspot.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://aipsg.blogspot.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://allama-mashriqi.8m.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://armbeans.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://artsyhands.com/2010/05/access-facebook-blocked-pakistan/,MISC,Miscellaneous,2014-04-15,citizenlab,
http://atlasshrugs2000.typepad.com/atlas_shrugs/2006/02/muhammad_cartoo.html,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://atunnel.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://awomensenews.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://balochwarna.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://blogfa.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bloodmirror.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://Boredatschool.net,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://btunnel.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://caosblog.com/archives/19779,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://clubtanker.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://coppernose.pw,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://creepingsharia.wordpress.com/mohammed-cartoon-collection/,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://ctunnel.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://dailycaller.com/2010/04/24/may-20-is-everybody-draw-muhammad-day/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://deadpanthoughts.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/1,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/11,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/13,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/15,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/160,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/17,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/18,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/2,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/21,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/23,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/24,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/244,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/246,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/248,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/25,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/252,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/254,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/27,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/29,COMM,E-commerce,2014-04-15,citizenlab,
