url,category_code,category_description,date_added,source,notes
http://aljabha.org,POLR,Political reform,2014-04-15,citizenlab,
http://arabs48.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://btselem.org,HUMR,Human rights,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Hamas,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://freearabs.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://globalgayz.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://haaretz.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://humum.net/?cat=15,HUMR,Human rights,2014-04-15,citizenlab,
http://islamonline.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://jstreet.org,POLR,Political reform,2014-04-15,citizenlab,
http://muslimass.com,PORN,Pornography,2014-04-15,citizenlab,
http://pamelageller.com,HATE,Hate speech,2014-04-15,citizenlab,
http://sharmota.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.8thstreetlatinas.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.ahewar.org/debat/nr.asp,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.al-bushra.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.alarabiya.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.almajd.net,POLR,Political reform,2014-04-15,citizenlab,
http://www.amad.ps/arabic/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.anti-cair-net.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.arabs4tolerance.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.bahai-faith.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.barenakedislam.com,HATE,Hate speech,2014-04-15,citizenlab,
http://www.cdl.com.lb,GMB,Gambling,2014-04-15,citizenlab,
http://www.fateh-voice.ps/arabic/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.freearabvoice.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.freemuslim.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.globalgayz.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.google.com/news,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.hadash.org.il,POLT,Political transformation,2014-04-15,citizenlab,
http://www.il7ad.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.islammemo.cc,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.jnewswire.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.katib.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.middle-east-online.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.pal-home.net/arabic/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.palestine-info.co.uk,HUMR,Human rights,2014-04-15,citizenlab,
http://www.palestineremembered.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.radiosawa.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.redtube.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.shiaweb.org/v2/index.html,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.tabee3i.com/page/main.html,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.thegrace.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.twitter.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.wsj.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.yahosein.com/index.php,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.zionism-israel.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
https://twitter.com/tamarrod_gaza,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
