url,category_code,category_description,date_added,source,notes
http://2ch.hk,PORN,Pornography,2014-04-15,citizenlab,
http://6ott-mit-uns.livejournal.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://adengo.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://amnesty.org.ru,HUMR,Human rights,2014-04-15,citizenlab,
http://arxiv.ruckp.org,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://azatlyk-vatan.blogspot.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://blanki.net.ua,COMM,E-commerce,2014-04-15,citizenlab,
http://borgie.net,MISC,Miscellaneous,2014-04-15,citizenlab,
http://childrenscinema.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://comingoutspb.ru/en/en-home,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://czeczenia-rus.blog.onet.pl,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://diplomaticsecondpassport.com,COMM,E-commerce,2014-04-15,citizenlab,
http://drugspowerstore.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/suicide_methods,PUBH,Public health,2014-04-15,citizenlab,
http://fast-die.kiev.ua,MISC,Miscellaneous,2014-04-15,citizenlab,
http://fisadilillahi.com,HATE,Hate speech,2014-04-15,citizenlab,
http://flibusta.net,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://freepussyriot.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://genderandaids.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://go-krit.com/workshop,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://haamash.wordpress.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://humanrights-ru.livejournal.com,POLR,Political reform,2014-04-15,citizenlab,
http://inosmi.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://jamagat.wordpress.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://kavkaz.org.uk,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://kavkazcenter.info,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://kolebcev.v-teme.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://krauzes.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://legalitolko.biz,MISC,Miscellaneous,2014-04-15,citizenlab,
http://lgbtnet.ru,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://liability-insurance-company.com,COMM,E-commerce,2014-04-15,citizenlab,
http://limonka.nbp-info.com/,POLR,Political reform,2014-04-15,citizenlab,
http://looo.ch,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://milli-mejlis.blogspot.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://navalny.livejournal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://nordrus-norna.livejournal.com,HATE,Hate speech,2014-04-15,citizenlab,
http://onlinefilms.com.ua,MISC,Miscellaneous,2014-04-15,citizenlab,
http://passiya.com,DATE,Dating,2014-04-15,citizenlab,
http://pipetka.net,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://pornolab.net,PORN,Pornography,2014-04-15,citizenlab,
http://pravdaoputine.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://psyplants.org,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://rbth.ru/lgbt_in_russia,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://redenginejeans.com,COMM,E-commerce,2014-04-15,citizenlab,
http://rko.marsho.net,HATE,Hate speech,2014-04-15,citizenlab,
http://ru.wikipedia.org/wiki/%d0%97%d0%b0%d0%b3%d0%bb%d0%b0%d0%b2%d0%bd%d0%b0%d1%8f_%d1%81%d1%82%d1%80%d0%b0%d0%bd%d0%b8%d1%86%d0%b0,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://ru.wikipedia.org/wiki/%d0%9f%d0%be%d0%bb%d0%bd%d0%be%d0%b5_%d1%80%d1%83%d0%ba%d0%be%d0%b2%d0%be%d0%b4%d1%81%d1%82%d0%b2%d0%be_%d0%bf%d0%be_%d1%81%d0%b0%d0%bc%d0%be%d1%83%d0%b1%d0%b8%d0%b9%d1%81%d1%82%d0%b2%d1%83,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://rublacklist.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://rutracker.org,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://s-mahat.ru,HATE,Hate speech,2014-04-15,citizenlab,
http://semyanich.co,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://shopmixes.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://slon.ru,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://squarespace.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
