url,category_code,category_description,date_added,source,notes
http://ahlulbait12.jeeran.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://alhag.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://angryarab.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://arabdl.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://arabsex2.com,PORN,Pornography,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl/ayaanhirsiali/english/index.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://crf.hudson.org,HUMR,Human rights,2014-04-15,citizenlab,
http://en.wikipedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/History_of_Sudan,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Military_of_Sudan,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Slavery_in_Sudan,HUMR,Human rights,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Sudan,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://gayguide.net/Africa/Sudan/,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://glas.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/a7la_arab/,PORN,Pornography,2014-04-15,citizenlab,
http://groups.yahoo.com/group/alsharamit/,PORN,Pornography,2014-04-15,citizenlab,
http://groups.yahoo.com/group/cclub69/?yguid=101737945,PORN,Pornography,2014-04-15,citizenlab,
http://groups.yahoo.com/group/GaDoH_SOFT/,HACK,Hacking,2014-04-15,citizenlab,
http://groups.yahoo.com/group/glasla/,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/glasnyc/,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/lgbtmuslim,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://groups.yahoo.com/group/queerjihad,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://hosting.egcomp.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://intifada.20m.com,POLT,Political transformation,2014-04-15,citizenlab,
http://jeeran.com/blogs/,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://kenlydell.typepad.com/islamic_evil/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://mail.ayna.com,EMAIL,Free email,2014-04-15,citizenlab,
http://malak-alkoon.com,HACK,Hacking,2014-04-15,citizenlab,
http://mohmmedhamid.maktoobblog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://muslimuzbekistan.net,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://onearabworld.blog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://rayalshaab.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sjs429.jeeran.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://soft.arabdl.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://sudan.dailyvoices.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://sudanpeace.meetup.com,POLR,Political reform,2014-04-15,citizenlab,
http://tasaly.ueuo.com,GAME,Gaming,2014-04-15,citizenlab,
http://web.amnesty.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://website.lineone.net,POLR,Political reform,2014-04-15,citizenlab,
http://www.14masom.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.3rbpro.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://www.5tt5.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://www.abudhabiescort.com,DATE,Dating,2014-04-15,citizenlab,
http://www.acage.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.adabislami.org,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.afrol.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.akhbaralyoumsd.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.al-farook.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
