url,category_code,category_description,date_added,source,notes
http://babelfish.altavista.com,TRNS,Translation,2014-04-15,citizenlab,
http://care.org,DEV,Development,2014-04-15,citizenlab,
http://casino.com,GMB,Gambling,2014-04-15,citizenlab,
http://datefactory.com,DATE,Dating,2014-04-15,citizenlab,
http://del.icio.us,GRP,Groups and social networking,2014-04-15,citizenlab,
http://dopplr.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://famous-nudes.com,PORN,Pornography,2014-04-15,citizenlab,
http://friendfinder.com,DATE,Dating,2014-04-15,citizenlab,
http://groups.msn.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://hometown.aol.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://iase.disa.mil,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://intertran.tranexp.com,TRNS,Translation,2014-04-15,citizenlab,
http://jdl.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://kickme.to,WRZ,Warez,2014-04-15,citizenlab,
http://lesboerotica.net,PORN,Pornography,2014-04-15,citizenlab,
http://mashable.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://my.myway.com/email_redir.jsp,EMAIL,Free email,2014-04-15,citizenlab,
http://mywebpage.netscape.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://news.google.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://online.wsj.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://proxify.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://rferl.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://shamash.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://thepiratebay.org,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://translate.sakhr.com,TRNS,Translation,2014-04-15,citizenlab,
http://voice.yahoo.com,VOIP,VOIP,2014-04-15,citizenlab,
http://world.altavista.com,TRNS,Translation,2014-04-15,citizenlab,
http://ww.blogspot.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.3com.com,VOIP,VOIP,2014-04-15,citizenlab,
http://www.89.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.afpc.randolph.af.mil,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.aidsonline.com,PUBH,Public health,2014-04-15,citizenlab,
http://www.americandefenseleague.com,HATE,Hate speech,2014-04-15,citizenlab,
http://www.anonymitychecker.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.army.mil,USMIL,US military,2014-04-15,citizenlab,
http://www.attrition.org,HACK,Hacking,2014-04-15,citizenlab,
http://www.bbcworld.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.blizzard.com,GAME,Gaming,2014-04-15,citizenlab,
http://www.bmezine.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.broadvoice.com,VOIP,VOIP,2014-04-15,citizenlab,
http://www.cannaweed.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.ccel.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.center4civilrights.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.coquette.com,PROV,Provocative attire,2014-04-15,citizenlab,
http://www.crlp.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.darpa.mil,USMIL,US military,2014-04-15,citizenlab,
http://www.dea.gov,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.defenselink.mil,USMIL,US military,2014-04-15,citizenlab,
http://www.dialpad.com,VOIP,VOIP,2014-04-15,citizenlab,
http://www.digg.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.download.com,SFTWR,Software downloads,2014-04-15,citizenlab,
http://www.environmentaldefense.org,ENV,Environment,2014-04-15,citizenlab,
http://www.facebook.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.fdf.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.femalestars.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.figleaves.com,PROV,Provocative attire,2014-04-15,citizenlab,
http://www.gaywired.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.globalfundforwomen.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.globet.com,GMB,Gambling,2014-04-15,citizenlab,
http://www.google.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.guildwars.com,GAME,Gaming,2014-04-15,citizenlab,
http://www.hereistheporn.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.hon.ch,PUBH,Public health,2014-04-15,citizenlab,
http://www.hustler.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.ifad.org,DEV,Development,2014-04-15,citizenlab,
http://www.iht.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.insecure.org,HACK,Hacking,2014-04-15,citizenlab,
http://www.islamworld.net,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.jdate.com,DATE,Dating,2014-04-15,citizenlab,
http://www.kataebabuali.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.krishna.com,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.lingeriebowl.com,PROV,Provocative attire,2014-04-15,citizenlab,
http://www.macfound.org,DEV,Development,2014-04-15,citizenlab,
http://www.match.com,DATE,Dating,2014-04-15,citizenlab,
http://www.mate1.com,DATE,Dating,2014-04-15,citizenlab,
http://www.metacafe.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.mormon.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.muslimmatrimonial.com,DATE,Dating,2014-04-15,citizenlab,
http://www.myspace.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.naughty.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.nga.mil,USMIL,US military,2014-04-15,citizenlab,
http://www.nsa.gov,USMIL,US military,2014-04-15,citizenlab,
http://www.opecfund.org,DEV,Development,2014-04-15,citizenlab,
http://www.opennetinitiative.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.paltalk.com,VOIP,VOIP,2014-04-15,citizenlab,
http://www.passado.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.pentagon.mil,USMIL,US military,2014-04-15,citizenlab,
http://www.peoplesproxy.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.person.com,DATE,Dating,2014-04-15,citizenlab,
http://www.playboy.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.prophetofdoom.net,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.queernet.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.rightsmedia.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.royalvegas.com,GMB,Gambling,2014-04-15,citizenlab,
http://www.secondlife.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.sex.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.shroomery.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.singapore-window.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.skype.com,VOIP,VOIP,2014-04-15,citizenlab,
http://www.soros.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.speeddater.co.uk,DATE,Dating,2014-04-15,citizenlab,
http://www.sxetc.org,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.technorati.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.thc.org,HACK,Hacking,2014-04-15,citizenlab,
http://www.thegooddrugsguide.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.tranexp.com,TRNS,Translation,2014-04-15,citizenlab,
http://www.tranexp.de,TRNS,Translation,2014-04-15,citizenlab,
http://www.translate.ru/text.asp#tr_form,TRNS,Translation,2014-04-15,citizenlab,
http://www.tripod.lycos.co.uk,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.ultimate-anonymity.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.ussconstitution.navy.mil,USMIL,US military,2014-04-15,citizenlab,
http://www.volcanomail.com,EMAIL,Free email,2014-04-15,citizenlab,
http://www.wcc-coe.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.webspawner.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.weedtalk.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.worldsex.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.xanga.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.xxx.mrcool.org,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.yokota.af.mil,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://yelp.com,GRP,Groups and social networking,2014-04-15,citizenlab,
https://www22.verizon.com,VOIP,VOIP,2014-04-15,citizenlab,
