url,category_code,category_description,date_added,source,notes
http://adb.org,DEV,Development,2014-04-15,citizenlab,
http://arayachon.org,POLR,Political reform,2014-04-15,citizenlab,
http://baantomdy.narak.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://betasia.com,GMB,Gambling,2014-04-15,citizenlab,
http://betdaq.com,GMB,Gambling,2014-04-15,citizenlab,
http://bit.ruabruam.com,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://blog.sanook.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://campaign.democrat.or.th,POLR,Political reform,2014-04-15,citizenlab,
http://chmai.loxinfo.co.th/~thcatcom/,MINF,Minority faiths,2014-04-15,citizenlab,
http://downmerng.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://en.wikipedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://gamecenter.kapook.com,GMB,Gambling,2014-04-15,citizenlab,
http://home.in.th,EMAIL,Free email,2014-04-15,citizenlab,
http://hrw.org/english/docs/2005/01/13/thaila9858.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://ladbrokes.com,GMB,Gambling,2014-04-15,citizenlab,
http://mail.siamza.com,EMAIL,Free email,2014-04-15,citizenlab,
http://news.bbc.co.uk/2/hi/asia-pacific/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://prachatai.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://redsiam.info,POLR,Political reform,2014-04-15,citizenlab,
http://redsiam.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sameskybooks.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://school.obec.go.th,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://seapa.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://straitstimes.asiaone.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://thai69.com,PORN,Pornography,2014-04-15,citizenlab,
http://thaienews.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://thaigirlsnaked.com,PORN,Pornography,2014-04-15,citizenlab,
http://thaiuknews.wordpress.com,POLR,Political reform,2014-04-15,citizenlab,
http://tomdy.narak.com,DATE,Dating,2014-04-15,citizenlab,
http://tsthai.com,PORN,Pornography,2014-04-15,citizenlab,
http://upload.prachatalk.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://us.oneworld.net/article/country/970/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://weareallhuman.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://webboard.redradio-online.us,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.14tula.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.2519.net,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.9t.com,VOIP,VOIP,2014-04-15,citizenlab,
http://www.adeq.or.th,ENV,Environment,2014-04-15,citizenlab,
http://www.aidsaccess.com,PUBH,Public health,2014-04-15,citizenlab,
http://www.akhathai.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.amazon.co.uk/exec/obidos/ASIN/0300106823/203-4157180-0680751#product-details,POLT,Political transformation,2014-04-15,citizenlab,
http://www.amrc.org.hk,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.apsw-thailand.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.aseansec.org,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.asiafoundation.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.asian-migrants.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.asianpacificpost.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.asiantribune.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.asiapacificnews.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.asiatour.com,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.atimes.com/se-asia/se-asia.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.avert.org/aidsthai.htm,PUBH,Public health,2014-04-15,citizenlab,
http://www.bangkokbangers.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.bannok.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.bhumjaithai.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.bitthailand.com,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://www.bpw-thailand.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.cat2call.com,VOIP,VOIP,2014-04-15,citizenlab,
http://www.cawinfo.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.cfan.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.christianthai.net,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.cpnparty.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.dateinasia.com,DATE,Dating,2014-04-15,citizenlab,
http://www.dekdek.com,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.depdc.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.dlth.in.th,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://www.doctorsan.com,XED,Sex education and family planning,2014-04-15,citizenlab,
http://www.ecologyasia.com,ENV,Environment,2014-04-15,citizenlab,
http://www.enlightened-jurists.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.fasiroong.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.flickr.com/people/prachatai/,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.foreignaffairs.org,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.forplu.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.freeproxy.ru,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.ftawatch.org,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.gboysiam.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.goodasyou.net,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.greenpeace.or.th,ENV,Environment,2014-04-15,citizenlab,
http://www.gvantage.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.halalthailand.com,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.himalmag.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.hostpacific.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.hrw.org/en/languages?filter0=th,HUMR,Human rights,2014-04-15,citizenlab,
http://www.humanrights.asia/countries/thailand,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ilo.org/public/english/employment/gems/eeo/law/thailand/inst_nac.htm,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.internetfreedom.us,POLR,Political reform,2014-04-15,citizenlab,
http://www.ipzap.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.isiswomen.org/index.php,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.iwraw-ap.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.karencenter.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.khonkhurtai.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.khsnet.com/pinkink/,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.konthaiuk.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.konthaiuk.com/home.php,POLR,Political reform,2014-04-15,citizenlab,
http://www.learnland.net,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.littlespeck.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.manager.co.th,POLR,Political reform,2014-04-15,citizenlab,
http://www.mekongwetlands.org,ENV,Environment,2014-04-15,citizenlab,
http://www.midnightuniv.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.mrcmekong.org,ENV,Environment,2014-04-15,citizenlab,
http://www.msn.in.th/news.php,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.namkain.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.narakmail.com,EMAIL,Free email,2014-04-15,citizenlab,
http://www.netdesignhost.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.onlinewomeninpolitics.org/thai/thaimain.htm,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.pantip.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.politicalbase.in.th,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.powerdmc2.org,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.ppd.or.th,POLR,Political reform,2014-04-15,citizenlab,
http://www.prachatai.com/05web/th/home/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.prachatai3.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.premierbet.com,GMB,Gambling,2014-04-15,citizenlab,
http://www.ptp.or.th/letter.htm,POLR,Political reform,2014-04-15,citizenlab,
http://www.rangkids.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.redallthailand.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.rsf.org/article.php3?id_article=17364,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.salidausa.info,POLR,Political reform,2014-04-15,citizenlab,
http://www.sanook.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.sawasdeetalk.com,VOIP,VOIP,2014-04-15,citizenlab,
http://www.seapabkk.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.secularislam.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.siamguru.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.siammatch.com,DATE,Dating,2014-04-15,citizenlab,
http://www.sjthailand.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.snoopblocker.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.state.gov/g/drl/rls/hrrpt/2005/61628.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://www.surinrelations.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.teen.in.th,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.tei.or.th/tbcsd/,ENV,Environment,2014-04-15,citizenlab,
http://www.terraper.org/#,ENV,Environment,2014-04-15,citizenlab,
http://www.tfn3.info/board/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.thai-info.net,SRCH,Search engines,2014-04-15,citizenlab,
http://www.thai-search.net,SRCH,Search engines,2014-04-15,citizenlab,
http://www.thaichix.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.thaicounsel.com,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.thaicuties.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.thaigirls100.net,PORN,Pornography,2014-04-15,citizenlab,
http://www.thailabour.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.thailandtorrent.com,P2P,Peer-to-peer computing,2014-04-15,citizenlab,
http://www.thailove.com,DATE,Dating,2014-04-15,citizenlab,
http://www.thainhf.org,PUBH,Public health,2014-04-15,citizenlab,
http://www.thaiseek.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.thaisinglewomen.com,DATE,Dating,2014-04-15,citizenlab,
http://www.thaispider.net,SRCH,Search engines,2014-04-15,citizenlab,
http://www.thaivoice.org/community/,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.thaiware.com/main/info.php?id=7068,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.thaiwomen.or.th,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.thungyai.org,ENV,Environment,2014-04-15,citizenlab,
