url,category_code,category_description,date_added,source,notes
http://alhag.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://angryarab.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://astrubal.nawaat.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blogabderahmane.over-blog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://elkhadra.aceboard.fr,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Gay_rights_in_Tunisia,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Military_of_Tunisia,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Tunisia,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://facebook.com/OUAJIHBADREDDINE,POLR,Political reform,2014-04-15,citizenlab,
http://facebook.com/takrizo,POLR,Political reform,2014-04-15,citizenlab,
http://fartattou.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://fikrat.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://fr.youtube.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://gayinkuwait.blogspot.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://globalvoicesonline.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://hrw.org/french/docs/2005/11/15/mena12024.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://kitab.nl,POLR,Political reform,2014-04-15,citizenlab,
http://lejardinsecretdugeneralbenali.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://liqaa.net,POLR,Political reform,2014-04-15,citizenlab,
http://moncefmarzouki.com,HUMR,Human rights,2014-04-15,citizenlab,
http://omarkhayyam.blogsome.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sami-iii.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sofinos.maktoobblog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://tnblessee.spaces.live.com,HUMR,Human rights,2014-04-15,citizenlab,
http://tunisiawatch.rsfblog.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.abudhabiescort.com,DATE,Dating,2014-04-15,citizenlab,
http://www.al-bab.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.al-farook.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.alalam.ir,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.albadil.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.algeria-watch.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alhiwar.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.alkarama.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.almisbar.com,TRNS,Translation,2014-04-15,citizenlab,
http://www.alnaddy.com,DATE,Dating,2014-04-15,citizenlab,
http://www.alternatives-citoyennes.sgdg.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.amin.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.amplusnet.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://www.anhri.net/tunisia/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.anti-cair-net.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.aqlamonline.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.arabfaces.com,DATE,Dating,2014-04-15,citizenlab,
http://www.arabhumanrights.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.arabicbible.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://www.arabsgate.com,TRNS,Translation,2014-04-15,citizenlab,
http://www.azzaman.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bahai-faith.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.bakchich.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bbc.co.uk/arabic/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.bouhageb.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.business-humanrights.org/Categories/RegionsCountries/MiddleEastNoAfrica/Tunisia,HUMR,Human rights,2014-04-15,citizenlab,
http://www.childsrights.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.coptic.net,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.crin.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.danielpipes.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.democracycaucus.net/html/home.html,POLR,Political reform,2014-04-15,citizenlab,
http://www.ech-chaab.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.el-massa.com/ar/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.elmoudjahid.com/accueil/index.php,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.emarrakech.info,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.etunisie.net,POLR,Political reform,2014-04-15,citizenlab,
http://www.euromedrights.net,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ezawaj.com,DATE,Dating,2014-04-15,citizenlab,
http://www.fdtl.org,POLT,Political transformation,2014-04-15,citizenlab,
http://www.friendfinder.com,DATE,Dating,2014-04-15,citizenlab,
http://www.gaymiddleeast.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.gaytravelnet.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.glas.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.glas.org/lazeeza.html,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.globalprevention.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.groupe-crc.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.haya.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.hezbelamal.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.hrria.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.hrw.org/en/middle-east/n-africa,HUMR,Human rights,2014-04-15,citizenlab,
http://www.humum.net,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ifex.org/fr/content/view/full/659,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ikhwan.net,POLT,Political transformation,2014-04-15,citizenlab,
http://www.ikhwanweb.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.internewsmena.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.jihadwatch.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.kabyle.com,HOST,Web hosting sites and portals,2014-04-15,citizenlab,
http://www.kitab.nl,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.kwtanweer.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.lesben-gegen-gewalt.de,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.liberte-algerie.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.luxuryjoy.com,DATE,Dating,2014-04-15,citizenlab,
http://www.maktoobblog.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.middle-east-online.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.modawanati.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://www.mondeberbere.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.nahdha.net,POLT,Political transformation,2014-04-15,citizenlab,
http://www.nawaat.org/portail/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.observatoire-olpec.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.onlinearabia.net,DATE,Dating,2014-04-15,citizenlab,
http://www.radionongrata.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.rafed.net,POLR,Political reform,2014-04-15,citizenlab,
http://www.reveiltunisien.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.rsf.fr,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.ru4arab.ru,DATE,Dating,2014-04-15,citizenlab,
http://www.sharmota.com,PORN,Pornography,2014-04-15,citizenlab,
http://www.singles-bar.com,DATE,Dating,2014-04-15,citizenlab,
