url,category_code,category_description,date_added,source,notes
http://akilli.tv/Default.aspx,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://bet-at-home.com,GMB,Gambling,2014-04-15,citizenlab,
http://coolporntube.com,PORN,Pornography,2014-04-15,citizenlab,
http://dir.groups.yahoo.com/dir/Regional/Countries/Turkey,GRP,Groups and social networking,2014-04-15,citizenlab,
http://elmaaltshift.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Cyprus_dispute,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Islam_in_Turkey,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://eng.akparti.org.tr,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://enterhosts.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://evdedans.com,PORN,Pornography,2014-04-15,citizenlab,
http://forumindir.net,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://hawar.hk-mg.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://infinitetube.com,PORN,Pornography,2014-04-15,citizenlab,
http://istanbulcalling.blogspot.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://justusboys.com,PORN,Pornography,2014-04-15,citizenlab,
http://kasaum.ankara.edu.tr/index_eng.htm,WOMR,Women's rights,2014-04-15,citizenlab,
http://kurdistancommentary.wordpress.com,HUMR,Human rights,2014-04-15,citizenlab,
http://members.fortunecity.com/fstav1/1619.html,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://muslima.com,DATE,Dating,2014-04-15,citizenlab,
http://news.bbc.co.uk/2/hi/europe/country_profiles/1022222.stm,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://psikolog.org.tr,POLR,Political reform,2014-04-15,citizenlab,
http://richarddawkins.net,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://striptizciler.com,PORN,Pornography,2014-04-15,citizenlab,
http://tr.wikipedia.org/wiki/Ana_Sayfa,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://turkishculture.org,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://us.oneworld.net/places/turkey,DEV,Development,2014-04-15,citizenlab,
http://www.acev.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.alevibektasi.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.amnesty.org/en/region/turkey,DEV,Development,2014-04-15,citizenlab,
http://www.ari.org.tr,POLR,Political reform,2014-04-15,citizenlab,
http://www.bedenimveben.org/english.htm,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.bianet.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.casino-bonuslar.com,GMB,Gambling,2014-04-15,citizenlab,
http://www.cherrycasino.com/tr/skins/cherrycasino/index.jsp?wrapperClass=home&page=main,GMB,Gambling,2014-04-15,citizenlab,
http://www.cydd.org.tr,HUMR,Human rights,2014-04-15,citizenlab,
http://www.diziklipizle.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.egitimsen.org.tr,DEV,Development,2014-04-15,citizenlab,
http://www.eksisozluk.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.enstituyakurdi.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.fgulen.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.fisek.org.tr,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.gelawej.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.goldenpalace.com/tr/,GMB,Gambling,2014-04-15,citizenlab,
http://www.guardian.co.uk/world/turkey,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.hrw.org/europecentral-asia/turkey,HUMR,Human rights,2014-04-15,citizenlab,
http://www.hyd.org.tr,POLT,Political transformation,2014-04-15,citizenlab,
http://www.ihd.org.tr,HUMR,Human rights,2014-04-15,citizenlab,
http://www.istanbulbarosu.org.tr/Document.asp?DocumentIndex=adliyardim/adliyardim_banner.htm,HUMR,Human rights,2014-04-15,citizenlab,
http://www.kadineserleri.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.kaosgl.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.kedv.org.tr,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.kesfetmekicinbak.com,ENV,Environment,2014-04-15,citizenlab,
http://www.kurdishherald.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://www.lambdaistanbul.org/php/main.php?menuID=26,HUMR,Human rights,2014-04-15,citizenlab,
http://www.liberal.org.tr,HUMR,Human rights,2014-04-15,citizenlab,
http://www.lobicilik.com,POLT,Political transformation,2014-04-15,citizenlab,
http://www.mavikalem.org/Default.aspx,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.mediz.org/Kategori/13/1/English.aspx,HUMR,Human rights,2014-04-15,citizenlab,
http://www.mhp.org.tr,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.mustafaakyol.org,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.oxfam.org.uk/applications/blogs/pressoffice/?tag=turkey,DEV,Development,2014-04-15,citizenlab,
http://www.pkkonline.com/en/,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://www.reliefweb.int/rw/dbc.nsf/doc104?OpenForm&rc=3&cc=tur,DEV,Development,2014-04-15,citizenlab,
http://www.sbe.metu.edu.tr/kat_gws.html,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.taraf.com.tr,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.tercuman.com.tr,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.tkyd.org/tr/,POLT,Political transformation,2014-04-15,citizenlab,
