url,category_code,category_description,date_added,source,notes
http://en.wikipedia.org/wiki/LGBT_rights_in_Tanzania,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://hakinaumma.wordpress.com,POLR,Political reform,2014-04-15,citizenlab,
http://kasrilamwanazuo.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://kenyangayman.wordpress.com/2011/01/25/tanzania-gay-movie/,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://madikazemi.blogspot.com/2009/07/activists-petition-un-over-violation-of.html,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://mnada.net/alb/,HUMR,Human rights,2014-04-15,citizenlab,
http://mpayukaji.blogspot.com/2011/02/suto-kwa-wadini-wa-tanzania-ufisadi.html,POLR,Political reform,2014-04-15,citizenlab,
http://news.bbc.co.uk/2/hi/africa/7523796.stm,HUMR,Human rights,2014-04-15,citizenlab,
http://sw.wikipedia.org/wiki/Albino,HUMR,Human rights,2014-04-15,citizenlab,
http://thecitizen.co.tz/news/4-national-news/5861-police-alleged-to-delaymurder-case-of-tabora-albino-girl.html,HUMR,Human rights,2014-04-15,citizenlab,
http://vijanafm.crowdmap.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.bongocelebrity.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://www.chahali.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.gay-datanta.com/gy/tanzania,DATE,Dating,2014-04-15,citizenlab,
http://www.hrw.org/africa/tanzania-and-zanzibar,HUMR,Human rights,2014-04-15,citizenlab,
http://www.jamiiforums.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.mwanahalisi.co.tz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.npr.org/2011/06/22/137342470/-un-recognizes-gay-rights-as-human-rights,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.shout-africa.com/top-story/human-rights-violation-exists-in-tanzania/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.stanhopecentre.org/training/EA/zelamula_seminar.shtml,HUMR,Human rights,2014-04-15,citizenlab,
http://www.thecitizen.co.tz,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.uchaguzi2010.com,POLR,Political reform,2014-04-15,citizenlab,
