url,category_code,category_description,date_added,source,notes
http://24tv.ua,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://3a-pycb.livejournal.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://a-burlaka.livejournal.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://a-sadov.livejournal.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://abcnews.go.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ags.demokratia.ru,POLR,Political reform,2014-04-15,citizenlab,
http://alstrangers.livejournal.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://anaitiss.livejournal.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://anekdot-blogger.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://anonymizer.report.ru/_5FolderID_21226_.html,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://ansardin.wordpress.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab,
http://arestant.msk.ru,HUMR,Human rights,2014-04-15,citizenlab,
http://arxiv.ruckp.org,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://azartplay.com,GMB,Gambling,2014-04-15,citizenlab,
http://bagnet.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://beon.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bh42.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blanki.net.ua,COMM,E-commerce,2014-04-15,citizenlab,
http://blog.kp.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blog.megaforum.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blog.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogs.gde.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogs.korrespondent.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blogs.mail.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogs.privet.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://blogs.yandex.ru,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
