url,category_code,category_description,date_added,source,notes
http://activists4change.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://bigbrotherafrica.dstv.com,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://cbsfmbuganda.co.ug/index.php/en/,MISC,Miscellaneous,2014-04-15,citizenlab,
http://cpj.org/attacks06/africa06/uga06.html,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://dennismatanda.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://dpuganda.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/daniel_kalinaki,MISC,Miscellaneous,2014-04-15,citizenlab,
http://fedsnet.blogspot.com,POLR,Political reform,2014-04-15,citizenlab,
http://globalblogagainstaids.blogspot.com,PUBH,Public health,2014-04-15,citizenlab,
http://groups.yahoo.com/group/ugandagreen,POLR,Political reform,2014-04-15,citizenlab,
http://humanistuganda.wordpress.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://jssozi.wordpress.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://katwe.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://kfm.co.ug,MISC,Miscellaneous,2014-04-15,citizenlab,
http://koonadance.ug,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://lg.wikipedia.org/wiki/Omuko_Ogusooka,MISC,Miscellaneous,2014-04-15,citizenlab,
http://mak.ac.ug,MISC,Miscellaneous,2014-04-15,citizenlab,
http://mondaytimes.co.ug,MISC,Miscellaneous,2014-04-15,citizenlab,
http://myduuka.co.ug,COMM,E-commerce,2014-04-15,citizenlab,
http://news.yahoo.com/uganda-frets-over-rebel-threat-congo-refugees-reach-164849460.html,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://ntv.co.ug,MISC,Miscellaneous,2014-04-15,citizenlab,
http://observer.ug,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://pctechmag.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://redpeppe.ipower.com/ibriefing.php?item=1,POLR,Political reform,2014-04-15,citizenlab,
http://thepearlguide.co.ug,SRCH,Search engines,2014-04-15,citizenlab,
http://thinkafricapress.com/uganda/resurgent-adf-threatens-stability-great-lakes-region,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://udn.or.ug,DEV,Development,2014-04-15,citizenlab,
http://ugandaafricasafaris.com,SRCH,Search engines,2014-04-15,citizenlab,
http://ugandaletsgotravel.com,SRCH,Search engines,2014-04-15,citizenlab,
http://ugandaradionetwork.com/a/,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://ugandawatch.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ugpulse.com/ugandan-community/blogs/samsung/default.aspx,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://upcparty.net,POLR,Political reform,2014-04-15,citizenlab,
http://whosoever.org,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.acholitoday.worldbreak.com,HUMR,Human rights,2014-04-15,citizenlab,
http://www.actionaid.org/uganda/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.advocate.com/news/world-news/2013/04/02/photos-antigay-rally-held-ugandan-activist-david-katos-grave?page=full,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.africafoicentre.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.aglionline.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.catherine-mukasa-secretarial.com/services.html,TRNS,Translation,2014-04-15,citizenlab,
http://www.cheki.co.ug,COMM,E-commerce,2014-04-15,citizenlab,
http://www.crisisgroup.org/home/index.cfm?id=2346&l=1,HUMR,Human rights,2014-04-15,citizenlab,
http://www.enoughproject.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.fdc-uganda.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.fhri.or.ug,HUMR,Human rights,2014-04-15,citizenlab,
http://www.genderhealth.org/uganda.php,PUBH,Public health,2014-04-15,citizenlab,
http://www.hinduvoice.co.uk,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.hrw.org/reports/2004/uganda0404/,HUMR,Human rights,2014-04-15,citizenlab,
http://www.hurinet.or.ug,HUMR,Human rights,2014-04-15,citizenlab,
http://www.ict4democracy.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.inyenyerinews.org/politiki/the-untold-stories-sam-kutesa-and-salim-saleh-in-rwanda-on-mission-impossible/,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.kulanu.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://www.mask.org.za,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.missuganda.co.ug,HAL,"History, arts and literature",2014-04-15,citizenlab,
http://www.nabj.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.newvision.co.ug,POLT,Political transformation,2014-04-15,citizenlab,
http://www.norbertmao.org,POLR,Political reform,2014-04-15,citizenlab,
http://www.primeugandasafaris.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.refugeelawproject.org,HUMR,Human rights,2014-04-15,citizenlab,
http://www.smug.4t.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://www.strategypage.com/qnd/uganda/default.aspx,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://www.sudantribune.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.techpost.ug,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://www.theeastafrican.co.ke,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://www.theugandanjobline.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.topix.com/forum/world/uganda,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.uganda-safaris-africa.com,SRCH,Search engines,2014-04-15,citizenlab,
http://www.ugandandiasporanews.com,GRP,Groups and social networking,2014-04-15,citizenlab,
http://www.ugandaonlinelawlibrary.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.uwonet.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.vday.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.wougnet.org,WOMR,Women's rights,2014-04-15,citizenlab,
http://www.youtube.com/user/ssozijavie,VOIP,VOIP,2014-04-15,citizenlab,
http://xclusive.co.ug,MMED,Multimedia sharing,2014-04-15,citizenlab,
https://plus.google.com/+ntvuganda/posts,VOIP,VOIP,2014-04-15,citizenlab,
https://twitter.com/andrewmwenda,GRP,Groups and social networking,2014-04-15,citizenlab,
https://twitter.com/hackersuganda,GRP,Groups and social networking,2014-04-15,citizenlab,
https://twitter.com/kalinaki,GRP,Groups and social networking,2014-04-15,citizenlab,
https://twitter.com/ntvuganda,GRP,Groups and social networking,2014-04-15,citizenlab,
https://twitter.com/rosebellk,MISC,Miscellaneous,2014-04-15,citizenlab,
https://www.amamambabazi.com,POLR,Political reform,2014-04-15,citizenlab,
https://www.facebook.com/certifiedhackingacademy,GRP,Groups and social networking,2014-04-15,citizenlab,
https://www.facebook.com/groups/197403350412865/,GRP,Groups and social networking,2014-04-15,citizenlab,
https://www.facebook.com/groups/547975235242159/,GRP,Groups and social networking,2014-04-15,citizenlab,
https://www.facebook.com/groups/nokasesesplit/?hc_location=stream,GRP,Groups and social networking,2014-04-15,citizenlab,
https://www.facebook.com/mmuntu1,GRP,Groups and social networking,2014-04-15,citizenlab,
https://www.facebook.com/ntvuganda,GRP,Groups and social networking,2014-04-15,citizenlab,
https://www.facebook.com/pages/parliament-watch-uganda/519752108067598?ref=stream&hc_location=stream,GRP,Groups and social networking,2014-04-15,citizenlab,
https://www.facebook.com/radiobuganda,GRP,Groups and social networking,2014-04-15,citizenlab,
https://www.facebook.com/tiuganda,POLR,Political reform,2014-04-15,citizenlab,
https://www.facebook.com/ugandandiaspora,GRP,Groups and social networking,2014-04-15,citizenlab,
