url,category_code,category_description,date_added,source,notes
http://blanki.net.ua,COMM,E-commerce,2014-04-15,citizenlab,
http://childrenscinema.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://diplomaticsecondpassport.com,COMM,E-commerce,2014-04-15,citizenlab,
http://gayzona.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://growclub.org,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://kolebcev.v-teme.com,MISC,Miscellaneous,2014-04-15,citizenlab,
http://krauzes.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://legalrc.biz,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://limonova.v-teme.com,COMM,E-commerce,2014-04-15,citizenlab,
http://pictureview.com,MMED,Multimedia sharing,2014-04-15,citizenlab,
http://rchemlab.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://semyanich.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://tor4.su,PORN,Pornography,2014-04-15,citizenlab,
http://video-one.com,PORN,Pornography,2014-04-15,citizenlab,
http://weedhash.biz,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.narkotiki.name,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://www.shram.kiev.ua,SRCH,Search engines,2014-04-15,citizenlab,
http://www.weedy.be,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
http://zabormozga.com,ALDR,Alcohol and drugs,2014-04-15,citizenlab,
