url,category_code,category_description,date_added,source,notes
http://angelucho.wordpress.com/2009/06/19/%C2%A1muerte-a-chavez/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://atacada.wordpress.com,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://bloggeras.wordpress.com,WOMR,Women's rights,2014-04-15,citizenlab,
http://caracaschronicles.com,POLT,Political transformation,2014-04-15,citizenlab,
http://chavilarism.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://clandestino-venezuela.es.tl,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://constitutional-reform-venezuela.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://daniel-venezuela.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://devilsexcrement.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://downfaller-plateado.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://esdata.info,POLR,Political reform,2014-04-15,citizenlab,
http://exdiablo.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://fuerzasolidaria.org,POLR,Political reform,2014-04-15,citizenlab,
http://indigenista.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://lasarmasdecoronel.blogspot.co.uk,POLR,Political reform,2014-04-15,citizenlab,
http://oilwars.blogspot.com,DEV,Development,2014-04-15,citizenlab,
http://pmbcomments.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://prensadesolidaridad.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://runrun.es,POLT,Political transformation,2014-04-15,citizenlab,
http://sinmordaza.org/nuevo/,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://sociedadcivilvenezuela.blogspot.com,HUMR,Human rights,2014-04-15,citizenlab,
http://tlc-no.blogspot.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://todosenred.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://urru.org,POLR,Political reform,2014-04-15,citizenlab,
http://venezuela-usa.blogspot.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://venezuela.indymedia.org/es/index.shtml,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://votojoven.com,POLR,Political reform,2014-04-15,citizenlab,
http://www.11abril.com/index.asp,POLT,Political transformation,2014-04-15,citizenlab,
