url,category_code,category_description,date_added,source,notes
http://9binh.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://anhbasam.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://anhduong.net,HUMR,Human rights,2014-04-15,citizenlab,
http://baotoquoc.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bloc8406vn.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://chinhdangvu.blogspot.com,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://dactrung.net,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://danlambaovn.blogspot.ca,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://danluanvietnam.wordpress.com,POLR,Political reform,2014-04-15,citizenlab,
http://dantri.com.vn,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://datviet.free.fr,POLT,Political transformation,2014-04-15,citizenlab,
http://diendanctm.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://dmoz.org/Society/Religion_and_Spirituality/Cao_Dai/,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://ducme.tv,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Spratly_Islands_dispute,FREL,Foreign relations and military,2014-04-15,citizenlab,
http://forum.bkav.com.vn/showthread.php?27505-Giai-ma-hien-tuong-website-vn-bi-hack-tang-dot-bien,HACK,Hacking,2014-04-15,citizenlab,
http://henantrua.vn,GRP,Groups and social networking,2014-04-15,citizenlab,
http://hoilatraloi.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://hqvnch.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://huynh.tamh.free.fr,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://johnib.wordpress.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://khoi8406vn.blogspot.com,POLT,Political transformation,2014-04-15,citizenlab,
http://lenduong.net,HUMR,Human rights,2014-04-15,citizenlab,
http://lienmang-vietsan.50webs.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ncvaonline.org,POLR,Political reform,2014-04-15,citizenlab,
